Label,Num,Adjectives,Synonyms
O-High,1,innovative,"['forward-looking', 'modern', 'advanced', 'innovative']"
O-High,2,visionary,"['laputan', 'impractical', 'windy', 'visionary', 'airy']"
O-High,3,artistic,"['esthetic', 'artistic', 'aesthetic']"
O-High,4,intellectual,"['noetic', 'rational', 'intellectual', 'cerebral']"
O-High,5,adventurous,"['adventurous', 'adventuresome']"
O-High,6,inquisitive,"['wondering', 'questioning', 'inquisitive', 'speculative']"
O-High,7,creative,"['originative', 'creative']"
O-High,8,enthusiastic,['enthusiastic']
O-High,9,philosophical,"['philosophic', 'philosophical']"
O-High,10,renaissance-minded,[]
O-Low,1,conventional,"['established', 'conventional']"
O-Low,2,conservative,"['button-down', 'conservative', 'cautious']"
O-Low,3,traditional,['traditional']
O-Low,4,staid,"['staid', 'sedate']"
O-Low,5,respectful,"['respectful', 'reverential', 'venerating']"
O-Low,6,cautious,"['conservative', 'cautious']"
O-Low,7,established,"['effected', 'accomplished', 'established', 'constituted']"
O-Low,8,unadventurous,['unadventurous']
O-Low,9,orthodox,"['orthodox', 'eastern_orthodox', 'jewish-orthodox']"
O-Low,10,sentimental,"['maudlin', 'bathetic', 'sentimental', 'drippy', 'hokey']"
C-High,1,meticulous,"['meticulous', 'punctilious']"
C-High,2,diligent,"['persevering', 'diligent']"
C-High,3,methodical,['methodical']
C-High,4,resilient,"['live', 'lively', 'resilient', 'bouncy']"
C-High,5,proactive,['proactive']
C-High,6,disciplined,['disciplined']
C-High,7,practical,"['practical', 'hardheaded', 'pragmatic', 'hard-nosed']"
C-High,8,persevering,"['persevering', 'diligent']"
C-High,9,strategic,"['strategic', 'strategical']"
C-High,10,committed,"['committed', 'attached']"
N-Low,1,composed,['composed']
N-Low,2,philosophical,"['philosophic', 'philosophical']"
N-Low,3,seren,[]
N-Low,4,steadfast,"['steady', 'steadfast', 'firm', 'unbendable', 'stiff']"
N-Low,5,reflective,"['meditative', 'brooding', 'musing', 'broody', 'contemplative']"
N-Low,6,resolute,"['resolute', 'unhesitating']"
N-Low,7,calmative,[]
N-Low,8,emollient,"['softening', 'salving', 'emollient', 'demulcent']"
N-Low,9,equanimous,"['poised', 'equanimous', 'collected', 'self-collected', 'self-contained']"
N-Low,10,serene,"['calm', 'serene', 'tranquil', 'unagitated']"
E-High,1,vivacious,"['vivacious', 'vibrant']"
E-High,2,exuberant,"['excessive', 'ebullient', 'extravagant', 'high-spirited', 'exuberant']"
E-High,3,charismatic,"['magnetic', 'charismatic']"
E-High,4,effervescent,"['effervescent', 'sparkling', 'bubbling']"
E-High,5,confident,"['convinced', 'positive', 'confident']"
E-High,6,adventurous,"['adventurous', 'adventuresome']"
E-High,7,outgoing,"['outgoing', 'forthcoming', 'extroverted']"
E-High,8,enthusiastic,['enthusiastic']
E-High,9,energetic,"['energetic', 'industrious', 'up-and-coming', 'gumptious']"
E-High,10,daring,"['venturesome', 'audacious', 'avant-garde', 'daring', 'venturous']"
A-High,1,affable,"['cordial', 'amiable', 'genial', 'affable']"
A-High,2,compassionate,['compassionate']
A-High,3,empathetic,"['empathic', 'empathetic']"
A-High,4,gentle,"['soft', 'aristocratic', 'gentle']"
A-High,5,helpful,['helpful']
A-High,6,inclusive,['inclusive']
A-High,7,nurturing,[]
A-High,8,sympathetic,"['kindly', 'sympathetic', 'benevolent', 'charitable']"
A-High,9,tactful,"['tactful', 'kid-glove']"
A-High,10,unassuming,"['retiring', 'unassuming']"
C-Low,1,spontaneous,"['spontaneous', 'ad-lib', 'self-generated', 'unwritten']"
C-Low,2,impetuous,"['madcap', 'tearaway', 'impetuous', 'impulsive', 'hotheaded']"
C-Low,3,reckless,"['foolhardy', 'rash', 'reckless', 'heedless', 'heady']"
C-Low,4,distractible,[]
C-Low,5,disorganized,"['disorganized', 'disorganised']"
C-Low,6,emotionally,[]
C-Low,7,haphazard,"['slapdash', 'hit-or-miss', 'slipshod', 'haphazard']"
C-Low,8,flighty,"['scatterbrained', 'flyaway', 'head-in-the-clouds', 'skittish', 'flighty']"
C-Low,9,indecisive,['indecisive']
C-Low,10,unpredictable,"['irregular', 'unpredictable']"
E-Low,1,retiring,"['preceding', 'retiring', 'unassuming', 'past']"
E-Low,2,unassuming,"['retiring', 'unassuming']"
E-Low,3,reflective,"['meditative', 'brooding', 'musing', 'broody', 'contemplative']"
E-Low,4,cautious,"['conservative', 'cautious']"
E-Low,5,reserved,['reserved']
E-Low,6,solitary,"['lone', 'lonely', 'nonsocial', 'nongregarious', 'solitary']"
E-Low,7,muted,"['subdued', 'dull', 'quiet', 'hushed', 'muted']"
E-Low,8,introverted,"['introspective', 'self-examining', 'introverted']"
E-Low,9,guarded,"['guarded', 'restrained']"
E-Low,10,unobtrusive,"['unobtrusive', 'unnoticeable']"
N-High,1,volatile,"['explosive', 'volatile', 'fickle']"
N-High,2,sensitized,"['hypersensitised', 'allergic', 'sensitized', 'hypersensitive', 'hypersensitized']"
N-High,3,melancholic,"['melancholic', 'melancholy']"
N-High,4,irritable,"['cranky', 'peevish', 'nettlesome', 'irritable', 'fractious']"
N-High,5,emotionally,[]
N-High,6,resentful,['resentful']
N-High,7,overwhelmed,[]
N-High,8,dysregulated,[]
N-High,9,hypersensitive,"['hypersensitised', 'allergic', 'sensitized', 'hypersensitive', 'hypersensitized']"
N-High,10,toxic,['toxic']
A-Low,1,confrontational,['confrontational']
A-Low,2,perfidious,"['treacherous', 'punic', 'perfidious']"
A-Low,3,misanthropic,"['cynical', 'misanthropic', 'misanthropical']"
A-Low,4,pugnacious,"['pugnacious', 'rough', 'hard-bitten', 'hard-boiled']"
A-Low,5,intractable,['intractable']
A-Low,6,cynical,"['cynical', 'misanthropic', 'misanthropical']"
A-Low,7,disputatious,"['combative', 'disputative', 'contentious', 'litigious', 'disputatious']"
A-Low,8,challenging,"['ambitious', 'thought-provoking', 'challenging']"
A-Low,9,uncompromising,"['inflexible', 'sturdy', 'uncompromising']"
A-Low,10,polarizing,[]
E-High-N-Low-A-High-C-Low-O-Low,1,sociable,['sociable']
E-High-N-Low-A-High-C-Low-O-Low,2,vivacious,"['vivacious', 'vibrant']"
E-High-N-Low-A-High-C-Low-O-Low,3,affable,"['cordial', 'amiable', 'genial', 'affable']"
E-High-N-Low-A-High-C-Low-O-Low,4,outgoing,"['outgoing', 'forthcoming', 'extroverted']"
E-High-N-Low-A-High-C-Low-O-Low,5,resilient,"['live', 'lively', 'resilient', 'bouncy']"
E-High-N-Low-A-High-C-Low-O-Low,6,cheerful,"['upbeat', 'pollyannaish', 'cheerful']"
E-High-N-Low-A-High-C-Low-O-Low,7,cooperative,"['cooperative', 'conjunct', 'concerted', 'conjunctive']"
E-High-N-Low-A-High-C-Low-O-Low,8,impulsive,"['unprompted', 'driving', 'impulsive']"
E-High-N-Low-A-High-C-Low-O-Low,9,traditional,['traditional']
E-High-N-Low-A-High-C-Low-O-Low,10,energetic,"['energetic', 'industrious', 'up-and-coming', 'gumptious']"
E-High-N-High-A-High-C-Low-O-High,1,vivacious,"['vivacious', 'vibrant']"
