Label,Num,Adjectives,Synonyms
N-High,1,egotistical,"['narcissistic', 'egotistical', 'egotistic', 'conceited', 'self-loving']"
N-High,2,arrogant,"['arrogant', 'self-important', 'chesty']"
N-High,3,conceited,"['self-conceited', 'swollen', 'egotistical', 'egotistic', 'conceited']"
N-High,4,pompous,"['grandiloquent', 'overblown', 'pompous', 'pontifical', 'portentous']"
N-High,5,superior,"['superscript', 'superior']"
N-High,6,self-aggrandizing,"['self-aggrandising', 'self-aggrandizing', 'braggart', 'bragging', 'boastful']"
N-High,7,overbearing,"['haughty', 'overbearing', 'dictatorial', 'disdainful', 'authoritarian']"
N-High,8,grandiose,"['highfaluting', 'grandiose', 'hifalutin', 'highfalutin']"
N-High,9,vainglorious,"['swelled', 'big', 'vainglorious']"
N-High,10,hubristic,[]
M-High,1,machiavellian,['machiavellian']
M-High,2,cunning,"['cunning', 'cute', 'crafty', 'dodgy']"
M-High,3,pragmatic,"['pragmatical', 'pragmatic', 'matter-of-fact']"
M-High,4,ambitious,"['challenging', 'ambitious']"
M-High,5,scheming,"['scheming', 'calculative', 'shrewd', 'conniving', 'calculating']"
M-High,6,calculated,"['deliberate', 'measured', 'calculated']"
M-High,7,deceptive,"['misleading', 'shoddy', 'deceptive', 'delusory']"
M-High,8,power-hungry,[]
M-High,9,maneuvering,[]
M-High,10,unscrupulous,['unscrupulous']
P-Low,1,compassionate,['compassionate']
P-Low,2,reflective,"['musing', 'contemplative', 'meditative', 'broody', 'brooding']"
P-Low,3,empathic,"['empathic', 'empathetic']"
P-Low,4,considerate,['considerate']
P-Low,5,selfless,"['altruistic', 'selfless']"
P-Low,6,mindful,"['aware', 'mindful']"
P-Low,7,introspective,"['introverted', 'introspective', 'self-examining']"
P-Low,8,solicitous,['solicitous']
P-Low,9,prudent,['prudent']
P-Low,10,altruistic,"['altruistic', 'selfless']"
M-Low,1,unwavering,"['steadfast', 'unbendable', 'firm', 'stiff', 'steady']"
M-Low,2,authentic,"['unquestionable', 'bona_fide', 'authentic', 'reliable']"
M-Low,3,transparent,"['crystal_clear', 'crystalline', 'pellucid', 'limpid', 'lucid']"
M-Low,4,moral,['moral']
M-Low,5,direct,"['lineal', 'direct', 'unmediated']"
M-Low,6,trustworthy,"['trusty', 'trustworthy']"
M-Low,7,principled,['principled']
M-Low,8,sincere,"['solemn', 'earnest', 'sincere']"
M-Low,9,uncompromising,"['inflexible', 'uncompromising', 'sturdy']"
