Label,Num,Adjectives,Synonyms
N-High,1,conceited,"['self-conceited', 'swollen', 'egotistical', 'egotistic', 'conceited']"
N-High,2,egotistical,"['narcissistic', 'egotistical', 'egotistic', 'conceited', 'self-loving']"
N-High,3,haughty,"['haughty', 'lordly', 'overbearing', 'imperious', 'disdainful']"
N-High,4,pompous,"['grandiloquent', 'overblown', 'pompous', 'pontifical', 'portentous']"
N-High,5,superior,"['superscript', 'superior']"
N-High,6,vain,"['self-conceited', 'swollen', 'egotistical', 'egotistic', 'conceited']"
N-High,7,arrogant,"['arrogant', 'self-important', 'chesty']"
N-High,8,grandiose,"['highfaluting', 'grandiose', 'hifalutin', 'highfalutin']"
N-High,9,self-aggrandizing,"['self-aggrandising', 'self-aggrandizing', 'braggart', 'bragging', 'boastful']"
N-High,10,inflated,"['high-flown', 'hyperbolic', 'high-sounding', 'inflated']"
M-High,1,machiavellian,['machiavellian']
M-High,2,scheming,"['scheming', 'calculative', 'shrewd', 'conniving', 'calculating']"
M-High,3,cunning,"['cunning', 'cute', 'crafty', 'dodgy']"
M-High,4,calculating,"['scheming', 'calculative', 'shrewd', 'conniving', 'calculating']"
M-High,5,maneuvering,[]
M-High,6,duplicitous,"['janus-faced', 'deceitful', 'double-dealing', 'duplicitous', 'ambidextrous']"
M-High,7,ambitious,"['challenging', 'ambitious']"
M-High,8,cold-blooded,"['inhuman', 'insensate', 'cold-blooded', 'cold']"
M-High,9,mercenary,"['materialistic', 'mercenary', 'free-lance', 'worldly-minded']"
M-High,10,realpolitik,[]
P-Low,1,compassionate,['compassionate']
P-Low,2,reflective,"['musing', 'contemplative', 'meditative', 'broody', 'brooding']"
P-Low,3,solicitous,['solicitous']
P-Low,4,considerate,['considerate']
P-Low,5,empathetic,"['empathic', 'empathetic']"
P-Low,6,prudent,['prudent']
P-Low,7,altruistic,"['altruistic', 'selfless']"
P-Low,8,thoughtful,"['serious-minded', 'thoughtful', 'heedful']"
P-Low,9,guarded,"['restrained', 'guarded']"
P-Low,10,nurturing,[]
M-Low,1,unwavering,"['steadfast', 'unbendable', 'firm', 'stiff', 'steady']"
M-Low,2,straightforward,"['straightforward', 'aboveboard', 'square', 'straight']"
M-Low,3,authentic,"['unquestionable', 'bona_fide', 'authentic', 'reliable']"
M-Low,4,principled,['principled']
M-Low,5,transparent,"['crystal_clear', 'crystalline', 'pellucid', 'limpid', 'lucid']"
M-Low,6,decorum,[]
M-Low,7,uncompromising,"['inflexible', 'uncompromising', 'sturdy']"
M-Low,8,trustworthy,"['trusty', 'trustworthy']"
M-Low,9,candid,"['frank', 'free-spoken', 'forthright', 'candid', 'blunt']"
M-Low,10,unimpeachable,"['inculpable', 'irreproachable', 'unimpeachable', 'blameless']"
P-High,1,reckless,"['reckless', 'foolhardy', 'rash', 'heady', 'heedless']"
P-High,2,daredevil,"['daredevil', 'temerarious']"
P-High,3,unpredictable,"['irregular', 'unpredictable']"
P-High,4,self-centered,"['egoistical', 'egoistic', 'self-centered', 'egocentric', 'self-centred']"
P-High,5,lawless,"['lawless', 'anarchical', 'anarchic', 'wide-open']"
P-High,6,adrenaline-fueled,[]
P-High,7,emotionally,[]
P-High,8,ruthless,"['unpitying', 'pitiless', 'remorseless', 'ruthless']"
P-High,9,unconventional,"['unconventional', 'improper', 'unlawful']"
P-High,10,manic,"['frenzied', 'manic']"
N-Low,1,unassuming,"['retiring', 'unassuming']"
N-Low,2,self-effacing,"['self-effacing', 'reticent', 'retiring']"
N-Low,3,modest,"['modest', 'small']"
N-Low,4,low-key,"['low-key', 'low-keyed', 'subdued']"
N-Low,5,unpretentious,"['unpretending', 'unpretentious', 'understated', 'unostentatious']"
N-Low,6,demure,"['coy', 'demure', 'overmodest']"
N-Low,7,unobtrusive,"['unnoticeable', 'unobtrusive']"
N-Low,8,unassuming,"['retiring', 'unassuming']"
N-Low,9,unostentatious,"['unpretending', 'unpretentious', 'understated', 'unostentatious']"
N-Low,10,modestly-minded,[]
M-Low-N-High-P-High,1,authentic,"['unquestionable', 'bona_fide', 'authentic', 'reliable']"
M-Low-N-High-P-High,2,confident,"['positive', 'convinced', 'confident']"
M-Low-N-High-P-High,3,straightforward,"['straightforward', 'aboveboard', 'square', 'straight']"
M-Low-N-High-P-High,4,unapologetic,['unapologetic']
M-Low-N-High-P-High,5,impulsive,"['driving', 'impulsive', 'unprompted']"
M-Low-N-High-P-High,6,thrill-seeking,[]
M-Low-N-High-P-High,7,self-assured,"['self-confident', 'self-assured']"
M-Low-N-High-P-High,8,emotionally,[]
M-Low-N-High-P-High,9,reckless,"['reckless', 'foolhardy', 'rash', 'heady', 'heedless']"
M-Low-N-High-P-High,10,uncompromising,"['inflexible', 'uncompromising', 'sturdy']"
M-High-N-High-P-Low,1,strategic,"['strategical', 'strategic']"
M-High-N-High-P-Low,2,pragmatic,"['pragmatical', 'pragmatic', 'matter-of-fact']"
M-High-N-High-P-Low,3,ambitious,"['challenging', 'ambitious']"
M-High-N-High-P-Low,4,charismatic,"['magnetic', 'charismatic']"
M-High-N-High-P-Low,5,confident,"['positive', 'convinced', 'confident']"
M-High-N-High-P-Low,6,cunning,"['cunning', 'cute', 'crafty', 'dodgy']"
M-High-N-High-P-Low,7,adaptable,['adaptable']
M-High-N-High-P-Low,8,results-oriented,[]
M-High-N-High-P-Low,9,sophisticated,"['sophisticated', 'advanced']"
M-High-N-High-P-Low,10,astute,"['astute', 'sharp', 'shrewd']"
M-Low-N-High-P-Low,1,authentic,"['unquestionable', 'bona_fide', 'authentic', 'reliable']"
M-Low-N-High-P-Low,2,self-assured,"['self-confident', 'self-assured']"
M-Low-N-High-P-Low,3,empathetic,"['empathic', 'empathetic']"
M-Low-N-High-P-Low,4,transparent,"['crystal_clear', 'crystalline', 'pellucid', 'limpid', 'lucid']"
M-Low-N-High-P-Low,5,moralistic,['moralistic']
M-Low-N-High-P-Low,6,reflective,"['musing', 'contemplative', 'meditative', 'broody', 'brooding']"
M-Low-N-High-P-Low,7,idealistic,"['ideal', 'idealistic', 'elevated', 'sublime', 'exalted']"
M-Low-N-High-P-Low,8,altruistic,"['altruistic', 'selfless']"
M-Low-N-High-P-Low,9,sincere,"['solemn', 'earnest', 'sincere']"
M-Low-N-High-P-Low,10,compassionate,['compassionate']
M-High-N-High-P-High,1,cunning,"['cunning', 'cute', 'crafty', 'dodgy']"
M-High-N-High-P-High,2,acalculous,[]
M-High-N-High-P-High,3,manipulative,['manipulative']
M-High-N-High-P-High,4,superior,"['superscript', 'superior']"
M-High-N-High-P-High,5,dominant,"['predominant', 'prevalent', 'prevailing', 'dominant']"
M-High-N-High-P-High,6,callous,"['calloused', 'indurate', 'pachydermatous', 'callous']"
M-High-N-High-P-High,7,unpredictable,"['irregular', 'unpredictable']"
M-High-N-High-P-High,8,calculating,"['scheming', 'calculative', 'shrewd', 'conniving', 'calculating']"
M-High-N-High-P-High,9,emotionally,[]
M-High-N-High-P-High,10,ruthless,"['unpitying', 'pitiless', 'remorseless', 'ruthless']"
M-High-N-Low-P-Low,1,strategic,"['strategical', 'strategic']"
M-High-N-Low-P-Low,2,pragmatic,"['pragmatical', 'pragmatic', 'matter-of-fact']"
M-High-N-Low-P-Low,3,tactical,['tactical']
M-High-N-Low-P-Low,4,cautious,"['conservative', 'cautious']"
M-High-N-Low-P-Low,5,empathetic,"['empathic', 'empathetic']"
M-High-N-Low-P-Low,6,discerning,"['discerning', 'discreet', 'apprehensive']"
M-High-N-Low-P-Low,7,unassuming,"['retiring', 'unassuming']"
M-High-N-Low-P-Low,8,resourceful,['resourceful']
M-High-N-Low-P-Low,9,mindful,"['aware', 'mindful']"
M-High-N-Low-P-Low,10,calculating,"['scheming', 'calculative', 'shrewd', 'conniving', 'calculating']"
M-Low-N-Low-P-High,1,uncompromising,"['inflexible', 'uncompromising', 'sturdy']"
M-Low-N-Low-P-High,2,direct,"['lineal', 'direct', 'unmediated']"
M-Low-N-Low-P-High,3,authentic,"['unquestionable', 'bona_fide', 'authentic', 'reliable']"
M-Low-N-Low-P-High,4,impulsive,"['driving', 'impulsive', 'unprompted']"
M-Low-N-Low-P-High,5,thrill-seeking,[]
M-Low-N-Low-P-High,6,emotionally,[]
M-Low-N-Low-P-High,7,honest,"['honorable', 'dependable', 'honest']"
M-Low-N-Low-P-High,8,unconventional,"['unconventional', 'improper', 'unlawful']"
M-Low-N-Low-P-High,9,unassuming,"['retiring', 'unassuming']"
M-Low-N-Low-P-High,10,unpredictable,"['irregular', 'unpredictable']"
M-Low-N-Low-P-Low,1,authentic,"['unquestionable', 'bona_fide', 'authentic', 'reliable']"
M-Low-N-Low-P-Low,2,compassionate,['compassionate']
M-Low-N-Low-P-Low,3,reliable,"['reliable', 'dependable', 'honest']"
M-Low-N-Low-P-Low,4,humane,"['humanistic', 'humanist', 'humane']"
M-Low-N-Low-P-Low,5,unassuming,"['retiring', 'unassuming']"
M-Low-N-Low-P-Low,6,empathetic,"['empathic', 'empathetic']"
M-Low-N-Low-P-Low,7,principled,['principled']
M-Low-N-Low-P-Low,8,selfless,"['altruistic', 'selfless']"
