Label,Num,Adjectives
O-High,1,visionary
O-High,2,inquisitive
O-High,3,creative
O-High,4,enthusiastic
O-High,5,intellectual
O-High,6,adventurous
O-High,7,artistic
O-High,8,free-thinking
O-High,9,curious-minded
O-High,10,dreamer
O-Low,1,conventional
O-Low,2,conservative
O-Low,3,traditional
O-Low,4,staid
O-Low,5,orthodox
O-Low,6,respectful
O-Low,7,pragmatic
O-Low,8,sentimental
O-Low,9,cautionary
O-Low,10,unadventurous
C-High,1,diligent
C-High,2,meticulous
C-High,3,resolute
C-High,4,methodical
C-High,5,industrious
C-High,6,pragmatic
C-High,7,disciplined
C-High,8,persevering
C-High,9,systematic
C-High,10,punctual
N-Low,1,composed
N-Low,2,phlegmatic
N-Low,3,stoic
N-Low,4,serene
N-Low,5,calmative
N-Low,6,equable
N-Low,7,laid-back
N-Low,8,philosophical
N-Low,9,sanguine
N-Low,10,unflappable
E-High,1,vivacious
E-High,2,exuberant
E-High,3,charismatic
E-High,4,confident
E-High,5,spontaneous
E-High,6,outgoing
E-High,7,energetic
E-High,8,sociable
E-High,9,boisterous
E-High,10,daring
A-High,1,affable
A-High,2,compassionate
A-High,3,empathetic
A-High,4,genial
A-High,5,gentle
A-High,6,nurturing
A-High,7,pacifist
A-High,8,philanthropic
A-High,9,sympathetic
A-High,10,tolerant
C-Low,1,spontaneous
C-Low,2,impetuous
C-Low,3,distractible
C-Low,4,disorganized
C-Low,5,emotionally
C-Low,6,flighty
C-Low,7,careless
C-Low,8,unpredictable
C-Low,9,haphazard
C-Low,10,indecisive
E-Low,1,retiring
E-Low,2,unassuming
E-Low,3,cautious
E-Low,4,reflective
E-Low,5,reserved
E-Low,6,introverted
E-Low,7,muted
E-Low,8,observant
E-Low,9,discerning
E-Low,10,low-key
N-High,1,volatile
N-High,2,melancholic
N-High,3,irritable
N-High,4,hypersensitive
N-High,5,eccentric
N-High,6,emotionally
N-High,7,self-destructive
N-High,8,overwhelmed
N-High,9,introspective
N-High,10,fractured
A-Low,1,confrontational
A-Low,2,perfidious
A-Low,3,scathing
A-Low,4,maledictive
A-Low,5,belligerent
A-Low,6,intransigent
A-Low,7,misanthropic
A-Low,8,caustic
A-Low,9,sarcastic
A-Low,10,pugnacious
E-High-N-Low-A-High-C-Low-O-Low,1,vivacious
E-High-N-Low-A-High-C-Low-O-Low,2,sociable
E-High-N-Low-A-High-C-Low-O-Low,3,enthusiastic
E-High-N-Low-A-High-C-Low-O-Low,4,assertive
E-High-N-Low-A-High-C-Low-O-Low,5,warm-hearted
E-High-N-Low-A-High-C-Low-O-Low,6,resilient
E-High-N-Low-A-High-C-Low-O-Low,7,impulsive
E-High-N-Low-A-High-C-Low-O-Low,8,traditional
E-High-N-Low-A-High-C-Low-O-Low,9,charismatic
E-High-N-Low-A-High-C-Low-O-Low,10,gregarious
E-High-N-High-A-High-C-Low-O-High,1,vibrant
E-High-N-High-A-High-C-Low-O-High,2,emotionally
E-High-N-High-A-High-C-Low-O-High,3,charismatic
E-High-N-High-A-High-C-Low-O-High,4,impulsive
E-High-N-High-A-High-C-Low-O-High,5,eccentric
E-High-N-High-A-High-C-Low-O-High,6,passionate
E-High-N-High-A-High-C-Low-O-High,7,dramatic
E-High-N-High-A-High-C-Low-O-High,8,empathetic
E-High-N-High-A-High-C-Low-O-High,9,unpredictable
E-High-N-High-A-High-C-Low-O-High,10,creative
