Label,Num,Adjectives
N-High,1,emotional
N-High,2,vulnerability
N-High,3,anxiousness
N-High,4,depression-prone
N-High,5,anger-prone
N-High,6,impulsivity
N-High,7,avoidant
N-High,8,self-critical
N-High,9,stress-sensitive
N-High,10,isolationist
N-High,11,emotional
N-High,12,vulnerability
N-High,13,anxiousness
N-High,14,depression-prone
N-High,15,anger-prone
N-High,16,impulsivity
N-High,17,avoidant
N-High,18,self-critical
N-High,19,stress-sensitive
N-High,20,isolationist
A-Low,1,assertive
A-Low,2,aggressive
A-Low,3,critical
A-Low,4,doubtful
A-Low,5,egotistical
A-Low,6,forceful
A-Low,7,impatient
A-Low,8,independent
A-Low,9,intrusive
A-Low,10,questioning
A-Low,11,assertive
A-Low,12,aggressive
A-Low,13,critical
A-Low,14,doubtful
A-Low,15,egotistical
A-Low,16,forceful
A-Low,17,impatient
A-Low,18,independent
A-Low,19,intrusive
A-Low,20,questioning
C-High,1,dependable
C-High,2,diligent
C-High,3,tenacious
C-High,4,precise
C-High,5,accountable
C-High,6,consistent
C-High,7,proactive
C-High,8,resolute
C-High,9,efficient
C-High,10,perceptive
C-High,11,dependable
C-High,12,diligent
C-High,13,tenacious
C-High,14,precise
C-High,15,accountable
C-High,16,consistent
C-High,17,proactive
C-High,18,resolute
C-High,19,efficient
C-High,20,perceptive
O-Low,1,steadfast
O-Low,2,consistent
O-Low,3,traditionalist
O-Low,4,familiarity-seeking
O-Low,5,set-in-their-ways
O-Low,6,practical
O-Low,7,predictable
O-Low,8,established
O-Low,9,methodical
O-Low,10,resilient
O-Low,11,steadfast
O-Low,12,consistent
O-Low,13,traditionalist
O-Low,14,familiarity-seeking
O-Low,15,set-in-their-ways
O-Low,16,practical
O-Low,17,predictable
O-Low,18,established
O-Low,19,methodical
O-Low,20,resilient
A-High,1,affectionate
A-High,2,compassionate
A-High,3,doting
A-High,4,generous
A-High,5,hospitable
A-High,6,sensitive
A-High,7,thoughtful
A-High,8,welcoming
A-High,9,yielding
A-High,10,sympathetic
A-High,11,affectionate
A-High,12,compassionate
A-High,13,doting
A-High,14,generous
A-High,15,hospitable
A-High,16,sensitive
A-High,17,thoughtful
A-High,18,welcoming
A-High,19,yielding
A-High,20,sympathetic
N-Low,1,steadfast
N-Low,2,composed
N-Low,3,bearable
N-Low,4,diplomatic
N-Low,5,balanced
N-Low,6,relaxed
N-Low,7,self-assured
N-Low,8,resilient
N-Low,9,patient
N-Low,10,contented
N-Low,11,steadfast
N-Low,12,composed
N-Low,13,bearable
N-Low,14,diplomatic
N-Low,15,balanced
N-Low,16,relaxed
N-Low,17,self-assured
N-Low,18,resilient
N-Low,19,patient
N-Low,20,contented
O-High,1,visionary
O-High,2,curious
O-High,3,open-ended
O-High,4,creative
O-High,5,intellectual
O-High,6,aesthetic
O-High,7,idea
O-High,8,adventurous
O-High,9,conceptual
O-High,10,intellectual
O-High,11,visionary
O-High,12,curious
O-High,13,open-ended
O-High,14,creative
O-High,15,intellectual
O-High,16,aesthetic
O-High,17,idea
O-High,18,adventurous
O-High,19,conceptual
O-High,20,intellectual
C-Low,1,impetuous
C-Low,2,disorganized
C-Low,3,inattentive
C-Low,4,irresponsible
C-Low,5,hasty
C-Low,6,careless
C-Low,7,lackadaisical
C-Low,8,fidgety
C-Low,9,chaotic
C-Low,10,impulsive
C-Low,11,impetuous
C-Low,12,disorganized
C-Low,13,inattentive
C-Low,14,irresponsible
C-Low,15,hasty
C-Low,16,careless
C-Low,17,lackadaisical
C-Low,18,fidgety
C-Low,19,chaotic
C-Low,20,impulsive
E-Low,1,calm
E-Low,2,reflective
E-Low,3,thoughtful
E-Low,4,reserved
E-Low,5,sociable
E-Low,6,meticulous
E-Low,7,considerate
E-Low,8,solitary
E-Low,9,reserved
E-Low,10,sensitively
E-Low,11,calm
E-Low,12,reflective
E-Low,13,thoughtful
E-Low,14,reserved
E-Low,15,sociable
E-Low,16,meticulous
E-Low,17,considerate
E-Low,18,solitary
E-Low,19,reserved
E-Low,20,sensitively
E-High,1,chatty
E-High,2,sociable
E-High,3,gregarious
E-High,4,talkative
E-High,5,energetic
E-High,6,enthusiastic
E-High,7,assertive
E-High,8,excitable
E-High,9,adventurous
E-High,10,lively
E-High,11,chatty
E-High,12,sociable
E-High,13,gregarious
E-High,14,talkative
E-High,15,energetic
E-High,16,enthusiastic
E-High,17,assertive
E-High,18,excitable
E-High,19,adventurous
E-High,20,lively
E-High-N-High-A-High-C-High-O-Low,1,energetic
E-High-N-High-A-High-C-High-O-Low,2,excitable
E-High-N-High-A-High-C-High-O-Low,3,assertive
E-High-N-High-A-High-C-High-O-Low,4,warmhearted
E-High-N-High-A-High-C-High-O-Low,5,cooperative
E-High-N-High-A-High-C-High-O-Low,6,reliable
E-High-N-High-A-High-C-High-O-Low,7,efficient
E-High-N-High-A-High-C-High-O-Low,8,disciplined
E-High-N-High-A-High-C-High-O-Low,9,conservative
E-High-N-High-A-High-C-High-O-Low,10,traditional
E-High-N-High-A-High-C-High-O-Low,11,energetic
E-High-N-High-A-High-C-High-O-Low,12,excitable
E-High-N-High-A-High-C-High-O-Low,13,assertive
E-High-N-High-A-High-C-High-O-Low,14,warmhearted
E-High-N-High-A-High-C-High-O-Low,15,cooperative
E-High-N-High-A-High-C-High-O-Low,16,reliable
E-High-N-High-A-High-C-High-O-Low,17,efficient
E-High-N-High-A-High-C-High-O-Low,18,disciplined
E-High-N-High-A-High-C-High-O-Low,19,conservative
E-High-N-High-A-High-C-High-O-Low,20,traditional
E-Low-N-High-A-High-C-High-O-High,1,reserved
E-Low-N-High-A-High-C-High-O-High,2,mellow
E-Low-N-High-A-High-C-High-O-High,3,reflective
E-Low-N-High-A-High-C-High-O-High,4,sensitive
E-Low-N-High-A-High-C-High-O-High,5,considerate
E-Low-N-High-A-High-C-High-O-High,6,self-controlled
E-Low-N-High-A-High-C-High-O-High,7,persistent
E-Low-N-High-A-High-C-High-O-High,8,introspective
E-Low-N-High-A-High-C-High-O-High,9,intellectually
E-Low-N-High-A-High-C-High-O-High,10,aesthetic
E-Low-N-High-A-High-C-High-O-High,11,reserved
E-Low-N-High-A-High-C-High-O-High,12,mellow
E-Low-N-High-A-High-C-High-O-High,13,reflective
E-Low-N-High-A-High-C-High-O-High,14,sensitive
E-Low-N-High-A-High-C-High-O-High,15,considerate
E-Low-N-High-A-High-C-High-O-High,16,self-controlled
E-Low-N-High-A-High-C-High-O-High,17,persistent
E-Low-N-High-A-High-C-High-O-High,18,introspective
E-Low-N-High-A-High-C-High-O-High,19,intellectually
E-Low-N-High-A-High-C-High-O-High,20,aesthetic
E-High-N-Low-A-Low-C-Low-O-Low,1,dynamic
E-High-N-Low-A-Low-C-Low-O-Low,2,daring
E-High-N-Low-A-Low-C-Low-O-Low,3,energetic
E-High-N-Low-A-Low-C-Low-O-Low,4,forceful
E-High-N-Low-A-Low-C-Low-O-Low,5,impulsive
E-High-N-Low-A-Low-C-Low-O-Low,6,independent
E-High-N-Low-A-Low-C-Low-O-Low,7,jovial
E-High-N-Low-A-Low-C-Low-O-Low,8,lively
E-High-N-Low-A-Low-C-Low-O-Low,9,skeptical
E-High-N-Low-A-Low-C-Low-O-Low,10,traditional
E-High-N-Low-A-Low-C-Low-O-Low,11,dynamic
E-High-N-Low-A-Low-C-Low-O-Low,12,daring
E-High-N-Low-A-Low-C-Low-O-Low,13,energetic
E-High-N-Low-A-Low-C-Low-O-Low,14,forceful
E-High-N-Low-A-Low-C-Low-O-Low,15,impulsive
E-High-N-Low-A-Low-C-Low-O-Low,16,independent
E-High-N-Low-A-Low-C-Low-O-Low,17,jovial
E-High-N-Low-A-Low-C-Low-O-Low,18,lively
E-High-N-Low-A-Low-C-Low-O-Low,19,skeptical
E-High-N-Low-A-Low-C-Low-O-Low,20,traditional
E-High-N-Low-A-High-C-High-O-High,1,radiant
E-High-N-Low-A-High-C-High-O-High,2,energetic
E-High-N-Low-A-High-C-High-O-High,3,enthusiastic
E-High-N-Low-A-High-C-High-O-High,4,assertive
E-High-N-Low-A-High-C-High-O-High,5,dynamic
E-High-N-Low-A-High-C-High-O-High,6,lively
E-High-N-Low-A-High-C-High-O-High,7,calm
E-High-N-Low-A-High-C-High-O-High,8,even-tempered
