Label,Num,Adjectives
N-High,1,egotistical
N-High,2,arrogant
N-High,3,conceited
N-High,4,superior
N-High,5,vain
N-High,6,pompous
N-High,7,boastful
N-High,8,self-aggrandizing
N-High,9,hubristic
N-High,10,narcissistic
M-High,1,machiavellian
M-High,2,scheming
M-High,3,cunning
M-High,4,ambitious
M-High,5,calculating
M-High,6,exploitative
M-High,7,manipulative
M-High,8,pragmatic
M-High,9,cold-blooded
M-High,10,machiavellically-minded
P-Low,1,compassionate
P-Low,2,reflective
P-Low,3,empathogenic
P-Low,4,conscientious
P-Low,5,solicitous
P-Low,6,thoughtful
P-Low,7,considerate
P-Low,8,deliberate
P-Low,9,nurturing
P-Low,10,prudent
M-Low,1,unwavering
M-Low,2,transparent
M-Low,3,authentic
M-Low,4,reliable
M-Low,5,straightforward
M-Low,6,decent
M-Low,7,principled
M-Low,8,uncompromising
M-Low,9,genuine
M-Low,10,impartial
P-High,1,reckless
P-High,2,dissolute
P-High,3,unpredictable
P-High,4,ruthless
P-High,5,nonconformist
P-High,6,adrenaline-seeking
P-High,7,emotionally
P-High,8,antisocial
P-High,9,thrill-hungry
P-High,10,amoral
N-Low,1,unassuming
N-Low,2,modest
N-Low,3,self-effacing
N-Low,4,unpretentious
N-Low,5,low-key
N-Low,6,demure
N-Low,7,unobtrusive
N-Low,8,unostentatious
N-Low,9,unassuming
N-Low,10,subdued
M-Low-N-High-P-High,1,confidently
M-Low-N-High-P-High,2,impulsive
M-Low-N-High-P-High,3,direct
M-Low-N-High-P-High,4,authentic
M-Low-N-High-P-High,5,dominating
M-Low-N-High-P-High,6,emotionally
M-Low-N-High-P-High,7,self-aggrandizing
M-Low-N-High-P-High,8,unapologetic
M-Low-N-High-P-High,9,thrill-seeking
M-Low-N-High-P-High,10,unconstrained
M-High-N-High-P-Low,1,strategic
M-High-N-High-P-Low,2,pragmatic
M-High-N-High-P-Low,3,astute
M-High-N-High-P-Low,4,cunning
M-High-N-High-P-Low,5,ambitious
M-High-N-High-P-Low,6,charismatic
M-High-N-High-P-Low,7,self-assured
M-High-N-High-P-Low,8,adaptable
M-High-N-High-P-Low,9,perceptive
M-High-N-High-P-Low,10,discerning
M-Low-N-High-P-Low,1,authentic
M-Low-N-High-P-Low,2,sincere
M-Low-N-High-P-Low,3,empathetic
M-Low-N-High-P-Low,4,confident
M-Low-N-High-P-Low,5,idealistic
M-Low-N-High-P-Low,6,self-assured
M-Low-N-High-P-Low,7,compassionate
M-Low-N-High-P-Low,8,reflective
M-Low-N-High-P-Low,9,generous
M-Low-N-High-P-Low,10,introspective
M-High-N-High-P-High,1,cunning
M-High-N-High-P-High,2,amoral
M-High-N-High-P-High,3,dominating
M-High-N-High-P-High,4,self-aggrandizing
M-High-N-High-P-High,5,impulsive
M-High-N-High-P-High,6,emotionally
M-High-N-High-P-High,7,superior
M-High-N-High-P-High,8,manipulative
M-High-N-High-P-High,9,ruthless
M-High-N-High-P-High,10,unscrupulous
M-High-N-Low-P-Low,1,strategic
M-High-N-Low-P-Low,2,pragmatic
M-High-N-Low-P-Low,3,cautious
M-High-N-Low-P-Low,4,empathetic
M-High-N-Low-P-Low,5,humble
M-High-N-Low-P-Low,6,principled
M-High-N-Low-P-Low,7,perceptive
M-High-N-Low-P-Low,8,resourceful
M-High-N-Low-P-Low,9,mindful
M-High-N-Low-P-Low,10,discerning
M-Low-N-Low-P-High,1,blunt
M-Low-N-Low-P-High,2,uncompromising
M-Low-N-Low-P-High,3,ruthless
M-Low-N-Low-P-High,4,impulsive
M-Low-N-Low-P-High,5,thrill-seeking
M-Low-N-Low-P-High,6,detached
M-Low-N-Low-P-High,7,unapologetic
M-Low-N-Low-P-High,8,reckless
M-Low-N-Low-P-High,9,emotionally
M-Low-N-Low-P-High,10,unconventional
M-Low-N-Low-P-Low,1,authentic
M-Low-N-Low-P-Low,2,compassionate
M-Low-N-Low-P-Low,3,humble
M-Low-N-Low-P-Low,4,introspective
M-Low-N-Low-P-Low,5,mindful
M-Low-N-Low-P-Low,6,nurturing
M-Low-N-Low-P-Low,7,reliable
M-Low-N-Low-P-Low,8,selfless
M-Low-N-Low-P-Low,9,sincere
M-Low-N-Low-P-Low,10,unassuming
M-High-N-Low-P-High,1,cunning
M-High-N-Low-P-High,2,pragmatic
M-High-N-Low-P-High,3,unscrupulous
M-High-N-Low-P-High,4,strategic
M-High-N-Low-P-High,5,detached
M-High-N-Low-P-High,6,impulsive
M-High-N-Low-P-High,7,thrill-seeking
M-High-N-Low-P-High,8,manipulative
M-High-N-Low-P-High,9,acalculous
M-High-N-Low-P-High,10,enigmatic
