Label,Num,Adjectives
N-High,1,arrogant
N-High,2,conceited
N-High,3,egotistical
N-High,4,haughty
N-High,5,pompous
N-High,6,superior
N-High,7,self-aggrandizing
N-High,8,grandiose
N-High,9,overbearing
N-High,10,narcissistic
M-High,1,machiavellian
M-High,2,amoral
M-High,3,cunning
M-High,4,manipulative
M-High,5,realpolitik
M-High,6,power-hungry
M-High,7,exploitative
M-High,8,calculated
M-High,9,scheming
M-High,10,aristocratic
P-Low,1,compassionate
P-Low,2,reflective
P-Low,3,solicitous
P-Low,4,prudent
P-Low,5,considerate
P-Low,6,caring
P-Low,7,thoughtful
P-Low,8,responsible
P-Low,9,attentive
P-Low,10,nurturing
M-Low,1,unwavering
M-Low,2,transparent
M-Low,3,sincere
M-Low,4,integrity-driven
M-Low,5,authentic
M-Low,6,principled
M-Low,7,straightforward
M-Low,8,reliable
M-Low,9,uncompromising
M-Low,10,moral
P-High,1,reckless
P-High,2,daredevil
P-High,3,selfish
P-High,4,unpredictable
P-High,5,unapologetic
P-High,6,free-spirited
P-High,7,thrill-hungry
P-High,8,callous
P-High,9,unconventional
P-High,10,antisocial
N-Low,1,unassuming
N-Low,2,modest
N-Low,3,unpretentious
N-Low,4,self-effacing
N-Low,5,unostentatious
N-Low,6,demure
N-Low,7,unobtrusive
N-Low,8,low-key
N-Low,9,unassuming
N-Low,10,unconspicuous
M-Low-N-High-P-High,1,unapologetic
M-Low-N-High-P-High,2,confident
M-Low-N-High-P-High,3,impulsive
M-Low-N-High-P-High,4,dominating
M-Low-N-High-P-High,5,emotionally
M-Low-N-High-P-High,6,thrill-seeking
M-Low-N-High-P-High,7,sincere
M-Low-N-High-P-High,8,direct
M-Low-N-High-P-High,9,self-assured
M-Low-N-High-P-High,10,unconventional
M-High-N-High-P-Low,1,cunning
M-High-N-High-P-Low,2,ambitious
M-High-N-High-P-Low,3,strategic
M-High-N-High-P-Low,4,charismatic
M-High-N-High-P-Low,5,self-assured
M-High-N-High-P-Low,6,adaptable
M-High-N-High-P-Low,7,perceptive
M-High-N-High-P-Low,8,resourceful
M-High-N-High-P-Low,9,diplomatic
M-High-N-High-P-Low,10,pragmatic
M-Low-N-High-P-Low,1,authentic
M-Low-N-High-P-Low,2,empathetic
M-Low-N-High-P-Low,3,self-assured
M-Low-N-High-P-Low,4,idealistic
M-Low-N-High-P-Low,5,sincere
M-Low-N-High-P-Low,6,conscientious
M-Low-N-High-P-Low,7,compassionate
M-Low-N-High-P-Low,8,confident
M-Low-N-High-P-Low,9,genuine
M-Low-N-High-P-Low,10,altruistic
M-High-N-High-P-High,1,cunning
M-High-N-High-P-High,2,austere
M-High-N-High-P-High,3,ruthless
M-High-N-High-P-High,4,charismatic
M-High-N-High-P-High,5,maneuvering
M-High-N-High-P-High,6,unapologetic
M-High-N-High-P-High,7,mercurial
M-High-N-High-P-High,8,calculating
M-High-N-High-P-High,9,dominant
M-High-N-High-P-High,10,unscrupulous
M-High-N-Low-P-Low,1,strategic
M-High-N-Low-P-Low,2,pragmatic
M-High-N-Low-P-Low,3,tactful
M-High-N-Low-P-Low,4,responsible
M-High-N-Low-P-Low,5,empathetic
M-High-N-Low-P-Low,6,cautious
M-High-N-Low-P-Low,7,low-key
M-High-N-Low-P-Low,8,unassuming
M-High-N-Low-P-Low,9,calculating
M-High-N-Low-P-Low,10,altruistic
M-Low-N-Low-P-High,1,authentic
M-Low-N-Low-P-High,2,direct
M-Low-N-Low-P-High,3,unassuming
M-Low-N-Low-P-High,4,impulsive
M-Low-N-Low-P-High,5,thrill-seeking
M-Low-N-Low-P-High,6,emotionally
M-Low-N-Low-P-High,7,pragmatic
M-Low-N-Low-P-High,8,unconventional
M-Low-N-Low-P-High,9,genuine
M-Low-N-Low-P-High,10,unpredictable
M-Low-N-Low-P-Low,1,authentic
M-Low-N-Low-P-Low,2,compassionate
M-Low-N-Low-P-Low,3,humane
M-Low-N-Low-P-Low,4,reliable
M-Low-N-Low-P-Low,5,sincere
M-Low-N-Low-P-Low,6,unassuming
M-Low-N-Low-P-Low,7,empathetic
M-Low-N-Low-P-Low,8,principled
M-Low-N-Low-P-Low,9,reflective
M-Low-N-Low-P-Low,10,selfless
M-High-N-Low-P-High,1,cunning
M-High-N-Low-P-High,2,pragmatic
M-High-N-Low-P-High,3,unscrupulous
M-High-N-Low-P-High,4,detached
M-High-N-Low-P-High,5,impulsive
M-High-N-Low-P-High,6,thrill-seeking
M-High-N-Low-P-High,7,enigmatic
M-High-N-Low-P-High,8,strategic
M-High-N-Low-P-High,9,amoral
M-High-N-Low-P-High,10,chameleon-like
