Label,Num,Adjectives,Synonyms
T,1,analytical,"['analytical', 'analytic']"
T,2,detached,"['degage', 'detached', 'isolated', 'uninvolved']"
T,3,efficient,"['effective', 'efficient']"
T,4,logical,"['coherent', 'legitimate', 'consistent', 'logical']"
T,5,impartial,"['unprejudiced', 'impartial']"
T,6,methodical,['methodical']
T,7,objective,"['nonsubjective', 'objective', 'accusative']"
T,8,rational,"['rational', 'noetic', 'intellectual']"
T,9,unemotional,"['reticent', 'unemotional', 'restrained']"
T,10,utilitarian,"['useful', 'utilitarian']"
J,1,methodical,['methodical']
J,2,analytical,"['analytical', 'analytic']"
J,3,precise,"['exact', 'precise', 'accurate']"
J,4,structured,"['structured', 'integrated']"
J,5,perfectionistic,[]
J,6,cautious,"['conservative', 'cautious']"
J,7,disciplined,['disciplined']
J,8,focused,"['focussed', 'focused']"
J,9,systematic,"['systematic', 'taxonomical', 'taxonomic']"
J,10,rigid,"['rigid', 'strict', 'inflexible', 'stiff']"
N,1,enigmatic,"['enigmatic', 'puzzling', 'oracular', 'enigmatical']"
N,2,visionary,"['impractical', 'laputan', 'airy', 'visionary', 'windy']"
N,3,dreamy,"['moony', 'lackadaisical', 'woolgathering', 'dreamy']"
N,4,innovative,"['advanced', 'innovative', 'modern', 'forward-looking']"
N,5,perceptive,['perceptive']
N,6,ethereal,"['aery', 'aeriform', 'airy', 'ethereal', 'aerial']"
N,7,mercurial,"['quicksilver', 'mercurial', 'erratic', 'fickle']"
N,8,esoteric,['esoteric']
N,9,prophetic,"['prophetic', 'prophetical']"
N,10,ephemeral,"['transient', 'short-lived', 'ephemeral', 'transitory', 'passing']"
I,1,reserved,['reserved']
I,2,introverted,"['self-examining', 'introspective', 'introverted']"
I,3,sensitive,"['sensible', 'sensitive']"
I,4,shy,"['timid', 'diffident', 'shy', 'unsure']"
I,5,solitary,"['solitary', 'nonsocial', 'lone', 'nongregarious', 'lonely']"
I,6,delicate,"['frail', 'delicate', 'fragile']"
I,7,reclusive,"['withdrawn', 'cloistered', 'reclusive', 'recluse']"
I,8,energetic,"['industrious', 'up-and-coming', 'energetic', 'gumptious']"
I,9,quiet,"['hushed', 'restrained', 'quiet']"
I,10,fragile,"['frail', 'flimsy', 'delicate', 'fragile']"
F,1,compassionate,['compassionate']
F,2,empathetic,"['empathetic', 'empathic']"
F,3,sensitive,"['sensible', 'sensitive']"
F,4,gentle,"['soft', 'aristocratic', 'gentle']"
F,5,open-hearted,[]
F,6,introspective,"['self-examining', 'introspective', 'introverted']"
F,7,authentic,"['bona_fide', 'authentic', 'unquestionable', 'reliable']"
F,8,nurturing,[]
F,9,cooperative,"['conjunct', 'conjunctive', 'concerted', 'cooperative']"
F,10,heart-centered,[]
P,1,adaptable,['adaptable']
P,2,nimble,"['nimble', 'quick', 'spry', 'agile']"
P,3,open-minded,['open-minded']
P,4,resourceful,['resourceful']
P,5,spontaneous,"['self-generated', 'unwritten', 'spontaneous', 'ad-lib']"
P,6,perceptive,['perceptive']
P,7,flexible,"['flexible', 'flexile', 'elastic']"
P,8,unconventional,"['improper', 'unconventional', 'unlawful']"
P,9,proactive,['proactive']
P,10,agile,"['nimble', 'quick', 'spry', 'agile']"
E,1,energetic,"['industrious', 'up-and-coming', 'energetic', 'gumptious']"
E,2,outgoing,"['outgoing', 'forthcoming', 'extroverted']"
E,3,enthusiastic,['enthusiastic']
E,4,vibrant,"['vibrant', 'vivacious']"
E,5,social,"['social', 'societal']"
E,6,adventurous,"['adventuresome', 'adventurous']"
E,7,confident,"['confident', 'convinced', 'positive']"
E,8,chatty,"['garrulous', 'chatty', 'gabby', 'loquacious', 'talkative']"
E,9,spontaneous,"['self-generated', 'unwritten', 'spontaneous', 'ad-lib']"
E,10,charismatic,"['magnetic', 'charismatic']"
S,1,grounded,[]
S,2,perceptive,['perceptive']
S,3,pragmatic,"['matter-of-fact', 'pragmatic', 'pragmatical']"
S,4,observant,"['law-abiding', 'observant', 'observing']"
S,5,down-to-earth,"['down-to-earth', 'earthy']"
S,6,discerning,"['discerning', 'apprehensive', 'discreet']"
S,7,reflective,"['musing', 'broody', 'brooding', 'contemplative', 'meditative']"
S,8,attentive,"['paying_attention', 'thoughtful', 'attentive', 'heedful']"
S,9,sensible,"['sensible', 'reasonable', 'sensitive']"
S,10,disciplined,['disciplined']
ESFP,1,vibrant,"['vibrant', 'vivacious']"
ESFP,2,adventurous,"['adventuresome', 'adventurous']"
ESFP,3,spontaneous,"['self-generated', 'unwritten', 'spontaneous', 'ad-lib']"
ESFP,4,charming,"['sorcerous', 'charming', 'magic', 'magical']"
ESFP,5,enthusiastic,['enthusiastic']
ESFP,6,observant,"['law-abiding', 'observant', 'observing']"
ESFP,7,expressive,['expressive']
ESFP,8,resourceful,['resourceful']
ESFP,9,lively,"['brisk', 'lively', 'alert', 'racy']"
ESFP,10,spontaneous,"['self-generated', 'unwritten', 'spontaneous', 'ad-lib']"
ESFP,11,down-to-earth,"['down-to-earth', 'earthy']"
ESFP,12,pragmatic,"['matter-of-fact', 'pragmatic', 'pragmatical']"
ESFP,13,flexible,"['flexible', 'flexile', 'elastic']"
ESFP,14,spontaneous,"['self-generated', 'unwritten', 'spontaneous', 'ad-lib']"
ESFP,15,resourceful,['resourceful']
ESFP,16,reliable,"['honest', 'dependable', 'reliable']"
ESFP,17,practical,"['practical', 'hardheaded', 'hard-nosed', 'pragmatic']"
ESFP,18,sensible,"['sensible', 'reasonable', 'sensitive']"
ESFP,19,cooperative,"['conjunct', 'conjunctive', 'concerted', 'cooperative']"
ESFP,20,adaptable,['adaptable']
ENTP,1,voracious,"['rapacious', 'voracious', 'esurient', 'edacious', 'ravening']"
ENTP,2,energetic,"['industrious', 'up-and-coming', 'energetic', 'gumptious']"
ENTP,3,adaptable,['adaptable']
ENTP,4,innovative,"['advanced', 'innovative', 'modern', 'forward-looking']"
ENTP,5,perceptive,['perceptive']
ENTP,6,rational,"['rational', 'noetic', 'intellectual']"
ENTP,7,ambitious,"['ambitious', 'challenging']"
ENTP,8,chameleon-like,[]
ENTP,9,mischievous,"['arch', 'implike', 'mischievous', 'impish', 'pixilated']"
ENTP,10,visionary,"['impractical', 'laputan', 'airy', 'visionary', 'windy']"
INFJ,1,enigmatic,"['enigmatic', 'puzzling', 'oracular', 'enigmatical']"
INFJ,2,introspective,"['self-examining', 'introspective', 'introverted']"
INFJ,3,sensitive,"['sensible', 'sensitive']"
INFJ,4,imaginative,"['imaginative', 'inventive']"
INFJ,5,perceptive,['perceptive']
INFJ,6,idealistic,"['elevated', 'exalted', 'sublime', 'idealistic', 'ideal']"
INFJ,7,contemplative,"['musing', 'broody', 'brooding', 'contemplative', 'meditative']"
INFJ,8,authentic,"['bona_fide', 'authentic', 'unquestionable', 'reliable']"
INFJ,9,visionary,"['impractical', 'laputan', 'airy', 'visionary', 'windy']"
INFJ,10,compassionate,['compassionate']
INFP,1,spirited,"['bouncy', 'spirited', 'bouncing', 'peppy']"
INFP,2,emotionally,[]
INFP,3,introspective,"['self-examining', 'introspective', 'introverted']"
INFP,4,visionary,"['impractical', 'laputan', 'airy', 'visionary', 'windy']"
INFP,5,perceptive,['perceptive']
INFP,6,free-spirited,[]
INFP,7,creative,"['creative', 'originative']"
INFP,8,sensitivity-sensitive,[]
INFP,9,idealistic,"['elevated', 'exalted', 'sublime', 'idealistic', 'ideal']"
INFP,10,adaptable,['adaptable']
ENFP,1,vibrant,"['vibrant', 'vivacious']"
ENFP,2,imaginative,"['imaginative', 'inventive']"
ENFP,3,inquisitive,"['speculative', 'wondering', 'inquisitive', 'questioning']"
ENFP,4,expressive,['expressive']
ENFP,5,adventurous,"['adventuresome', 'adventurous']"
ENFP,6,empathetic,"['empathetic', 'empathic']"
ENFP,7,spontaneous,"['self-generated', 'unwritten', 'spontaneous', 'ad-lib']"
ENFP,8,visionary,"['impractical', 'laputan', 'airy', 'visionary', 'windy']"
ENFP,9,charismatic,"['magnetic', 'charismatic']"
ENFP,10,authentic,"['bona_fide', 'authentic', 'unquestionable', 'reliable']"
ISTJ,1,disciplined,['disciplined']
ISTJ,2,analytical,"['analytical', 'analytic']"
ISTJ,3,pragmatic,"['matter-of-fact', 'pragmatic', 'pragmatical']"
ISTJ,4,reserve,[]
ISTJ,5,efficient,"['effective', 'efficient']"
