Label,Num,Adjectives
T,1,analytical
T,2,detached
T,3,rational
T,4,efficient
T,5,cerebral
T,6,dispassionate
T,7,pragmatic
T,8,methodical
T,9,unemotional
T,10,strategic
J,1,methodical
J,2,precise
J,3,structured
J,4,analytical
J,5,objective
J,6,thorough
J,7,cautious
J,8,logical
J,9,dispassionate
J,10,rigorous
N,1,visionary
N,2,enigmatic
N,3,whimsical
N,4,perceptive
N,5,dreamy
N,6,innovative
N,7,esoteric
N,8,prophetic
N,9,artistic
N,10,cosmic
I,1,reclusive
I,2,reserved
I,3,sensitive
I,4,introverted
I,5,withdrawn
I,6,delicate
I,7,quiet
I,8,solitary
I,9,overwhelmed
I,10,demanding
F,1,compassionate
F,2,empathetic
F,3,sensitive
F,4,heartfelt
F,5,caring
F,6,gentle
F,7,attuned
F,8,nurturing
F,9,open-hearted
F,10,authentic
P,1,adaptable
P,2,resourceful
P,3,open-minded
P,4,spontaneous
P,5,perceptive
P,6,flexible
P,7,unconventional
P,8,proactive
P,9,agile
P,10,versatile
E,1,vibrant
E,2,charismatic
E,3,outgoing
E,4,energetic
E,5,affable
E,6,adventurous
E,7,confident
E,8,lively
E,9,social
E,10,effervescent
S,1,perceptive
S,2,grounded
S,3,attentive
S,4,discerning
S,5,pragmatic
S,6,observant
S,7,no-nonsense
S,8,methodical
S,9,witty
S,10,sensible
ESFP,1,vibrant
ESFP,2,spontaneous
ESFP,3,charismatic
ESFP,4,observant
ESFP,5,expressive
ESFP,6,adaptable
ESFP,7,enthusiastic
ESFP,8,authentic
ESFP,9,imaginative
ESFP,10,spontaneously
ENTP,1,innovative
ENTP,2,charismatic
ENTP,3,adaptable
ENTP,4,analytical
ENTP,5,eccentric
ENTP,6,entrepreneurial
ENTP,7,mischievous
ENTP,8,resilient
ENTP,9,mercurial
ENTP,10,visionary
INFJ,1,enigmatic
INFJ,2,introspective
INFJ,3,imaginative
INFJ,4,sensory-sensitive
INFJ,5,perceptive
INFJ,6,emotionally
INFJ,7,idealistic
INFJ,8,analytical
INFJ,9,creative
INFJ,10,authentic
INFP,1,surreal
INFP,2,introspective
INFP,3,enigmatic
INFP,4,empathic
INFP,5,adventurous
INFP,6,sensitive
INFP,7,creative
INFP,8,flexible
INFP,9,whimsical
INFP,10,vulnerable
ENFP,1,vibrant
ENFP,2,enthusiastic
ENFP,3,imaginative
ENFP,4,adventurous
ENFP,5,charismatic
ENFP,6,spontaneous
ENFP,7,optimistic
ENFP,8,expressive
ENFP,9,innovative
ENFP,10,free-spirited
ISTJ,1,introverted
ISTJ,2,perceptive
ISTJ,3,analytical
ISTJ,4,disciplined
ISTJ,5,pragmatic
ISTJ,6,reserve
ISTJ,7,efficient
ISTJ,8,thorough
ISTJ,9,reserved
ISTJ,10,unflappable
INTP,1,reclusive
INTP,2,intellectually
INTP,3,imaginative
INTP,4,perceptive
INTP,5,analytical
INTP,6,adaptable
INTP,7,cautious
INTP,8,visionary
INTP,9,discreet
INTP,10,enigmatic
ESTP,1,adventurous
ESTP,2,resourceful
ESTP,3,energetic
ESTP,4,observant
ESTP,5,pragmatic
ESTP,6,confident
ESTP,7,spontaneous
ESTP,8,analytical
ESTP,9,detached
ESTP,10,versatile
ISFP,1,introspective
ISFP,2,perceptive
ISFP,3,sensitively
ISFP,4,pragmatic
ISFP,5,creative
ISFP,6,flexible
ISFP,7,empathic
ISFP,8,imaginative
ISFP,9,authentic
ISFP,10,resilient
ESTJ,1,assertive
ESTJ,2,disciplined
ESTJ,3,analytical
ESTJ,4,confident
ESTJ,5,efficient
ESTJ,6,objective
ESTJ,7,results-driven
ESTJ,8,pragmatic
ESTJ,9,structured
ESTJ,10,decisive
ISFJ,1,reserved
ISFJ,2,attentive
ISFJ,3,sensitive
ISFJ,4,practical
ISFJ,5,orderly
ISFJ,6,perceptive
ISFJ,7,disciplined
ISFJ,8,reflective
ISFJ,9,supportive
ISFJ,10,meticulous
ISTP,1,analytical
ISTP,2,pragmatic
ISTP,3,observant
ISTP,4,resourceful
ISTP,5,disciplined
ISTP,6,independent
ISTP,7,perceptive
ISTP,8,flexible
ISTP,9,cautious
ISTP,10,efficient
ENTJ,1,charismatic
ENTJ,2,visionary
ENTJ,3,ambitious
ENTJ,4,strategic
ENTJ,5,confident
ENTJ,6,innovative
ENTJ,7,assertive
ENTJ,8,decisive
ENTJ,9,results-driven
ENTJ,10,forceful
INTJ,1,analytical
INTJ,2,independent
INTJ,3,perceptive
INTJ,4,creative
INTJ,5,discerning
INTJ,6,strategic
INTJ,7,reserve
INTJ,8,rigorous
INTJ,9,enigmatic
INTJ,10,visionary
ESFJ,1,charismatic
ESFJ,2,observant
ESFJ,3,energetic
ESFJ,4,loyal
ESFJ,5,practical
ESFJ,6,detail-oriented
ESFJ,7,expressive
ESFJ,8,diplomatic
ESFJ,9,organized
ESFJ,10,warm-hearted
ENFJ,1,charismatic
ENFJ,2,visionary
ENFJ,3,empathetic
ENFJ,4,enthusiastic
ENFJ,5,imaginative
ENFJ,6,diplomatic
ENFJ,7,confident
ENFJ,8,creative
ENFJ,9,warm-hearted
ENFJ,10,ambitious
