Label,Num,Adjectives,Synonyms
N-High,1,egotistical,"['narcissistic', 'egotistical', 'egotistic', 'conceited', 'self-loving']"
N-High,2,conceited,"['self-conceited', 'swollen', 'egotistical', 'egotistic', 'conceited']"
N-High,3,arrogant,"['arrogant', 'self-important', 'chesty']"
N-High,4,superior,"['superscript', 'superior']"
N-High,5,self-absorbed,"['self-absorbed', 'self-involved']"
N-High,6,boastful,"['braggart', 'braggy', 'bragging', 'boastful', 'big']"
N-High,7,pompous,"['grandiloquent', 'overblown', 'pompous', 'pontifical', 'portentous']"
N-High,8,haughty,"['haughty', 'lordly', 'overbearing', 'imperious', 'disdainful']"
N-High,9,overbearing,"['haughty', 'overbearing', 'dictatorial', 'disdainful', 'authoritarian']"
N-High,10,grandiose,"['highfaluting', 'grandiose', 'hifalutin', 'highfalutin']"
M-High,1,machiavellian,['machiavellian']
M-High,2,amoral,[]
M-High,3,calculating,"['scheming', 'calculative', 'shrewd', 'conniving', 'calculating']"
M-High,4,cunning,"['cunning', 'cute', 'crafty', 'dodgy']"
M-High,5,devious,"['devious', 'oblique', 'shifty']"
M-High,6,pragmatic,"['pragmatical', 'pragmatic', 'matter-of-fact']"
M-High,7,realpolitik,[]
M-High,8,scheming,"['scheming', 'calculative', 'shrewd', 'conniving', 'calculating']"
M-High,9,tactical,['tactical']
M-High,10,unscrupulous,['unscrupulous']
P-Low,1,compassionate,['compassionate']
P-Low,2,reflective,"['musing', 'contemplative', 'meditative', 'broody', 'brooding']"
P-Low,3,thoughtful,"['serious-minded', 'thoughtful', 'heedful']"
P-Low,4,sensitive,"['sensitive', 'sensible']"
P-Low,5,considerate,['considerate']
P-Low,6,guarded,"['restrained', 'guarded']"
P-Low,7,empathic,"['empathic', 'empathetic']"
P-Low,8,prudent,['prudent']
P-Low,9,nurturing,[]
P-Low,10,discerning,"['discerning', 'discreet', 'apprehensive']"
M-Low,1,upright,"['unsloped', 'just', 'upright', 'good']"
M-Low,2,unwavering,"['steadfast', 'unbendable', 'firm', 'stiff', 'steady']"
M-Low,3,genuine,"['genuine', 'true', 'unfeigned', 'echt']"
M-Low,4,integrity-driven,[]
M-Low,5,direct,"['lineal', 'direct', 'unmediated']"
M-Low,6,trustworthy,"['trusty', 'trustworthy']"
M-Low,7,ethical,"['honourable', 'honorable', 'ethical']"
M-Low,8,transparent,"['crystal_clear', 'crystalline', 'pellucid', 'limpid', 'lucid']"
M-Low,9,principled,['principled']
M-Low,10,unshakeable,[]
P-High,1,reckless,"['reckless', 'foolhardy', 'rash', 'heady', 'heedless']"
P-High,2,daring,"['audacious', 'avant-garde', 'daring', 'venturous', 'venturesome']"
P-High,3,unpredictable,"['irregular', 'unpredictable']"
P-High,4,unconventional,"['unconventional', 'improper', 'unlawful']"
P-High,5,adrenaline-driven,[]
P-High,6,self-centered,"['egoistical', 'egoistic', 'self-centered', 'egocentric', 'self-centred']"
P-High,7,impetuous,"['impetuous', 'madcap', 'impulsive', 'tearaway', 'hotheaded']"
P-High,8,ruthless,"['unpitying', 'pitiless', 'remorseless', 'ruthless']"
P-High,9,unapologetic,['unapologetic']
P-High,10,antisocial,"['antisocial', 'asocial']"
N-Low,1,unassuming,"['retiring', 'unassuming']"
N-Low,2,self-effacing,"['self-effacing', 'reticent', 'retiring']"
N-Low,3,modest,"['modest', 'small']"
N-Low,4,unobtrusive,"['unnoticeable', 'unobtrusive']"
N-Low,5,demure,"['coy', 'demure', 'overmodest']"
N-Low,6,unpretentious,"['unpretending', 'unpretentious', 'understated', 'unostentatious']"
N-Low,7,low-key,"['low-key', 'low-keyed', 'subdued']"
N-Low,8,unassuming,"['retiring', 'unassuming']"
N-Low,9,unassuming,"['retiring', 'unassuming']"
N-Low,10,modest,"['modest', 'small']"
N-Low,11,unostentatious,"['unpretending', 'unpretentious', 'understated', 'unostentatious']"
N-Low,12,unflashy,[]
N-Low,13,unpretentiously,[]
N-Low,14,unassertive,['unassertive']
N-Low,15,demurely,[]
N-Low,16,unassuming,"['retiring', 'unassuming']"
N-Low,17,low-profile,[]
