Label,Num,Adjectives,Synonyms
T,1,analytical,"['analytic', 'analytical']"
T,2,objective,"['objective', 'nonsubjective', 'accusative']"
T,3,rational,"['noetic', 'intellectual', 'rational']"
T,4,efficient,"['effective', 'efficient']"
T,5,pragmatic,"['pragmatical', 'matter-of-fact', 'pragmatic']"
T,6,systematic,"['systematic', 'taxonomic', 'taxonomical']"
T,7,logical,"['coherent', 'logical', 'legitimate', 'consistent']"
T,8,unemotional,"['restrained', 'unemotional', 'reticent']"
T,9,decisive,"['decisive', 'critical']"
T,10,methodical,['methodical']
T,11,analytical,"['analytic', 'analytical']"
T,12,objective,"['objective', 'nonsubjective', 'accusative']"
T,13,rational,"['noetic', 'intellectual', 'rational']"
T,14,efficient,"['effective', 'efficient']"
T,15,pragmatic,"['pragmatical', 'matter-of-fact', 'pragmatic']"
T,16,systematic,"['systematic', 'taxonomic', 'taxonomical']"
T,17,logical,"['coherent', 'logical', 'legitimate', 'consistent']"
T,18,unemotional,"['restrained', 'unemotional', 'reticent']"
T,19,decisive,"['decisive', 'critical']"
T,20,methodical,['methodical']
F,1,sympathetic,"['benevolent', 'sympathetic', 'charitable', 'kindly']"
F,2,compassionate,['compassionate']
F,3,emotional,"['emotional', 'aroused']"
F,4,sensitive,"['sensible', 'sensitive']"
F,5,empathetic,"['empathetic', 'empathic']"
F,6,cooperative,"['cooperative', 'concerted', 'conjunct', 'conjunctive']"
F,7,harmonious,"['symmetrical', 'harmonious', 'proportionate']"
F,8,altruistic,"['altruistic', 'selfless']"
F,9,companionship-driven,[]
F,10,socially,[]
F,11,sympathetic,"['benevolent', 'sympathetic', 'charitable', 'kindly']"
F,12,compassionate,['compassionate']
F,13,emotional,"['emotional', 'aroused']"
F,14,sensitive,"['sensible', 'sensitive']"
F,15,empathetic,"['empathetic', 'empathic']"
F,16,cooperative,"['cooperative', 'concerted', 'conjunct', 'conjunctive']"
F,17,harmonious,"['symmetrical', 'harmonious', 'proportionate']"
F,18,altruistic,"['altruistic', 'selfless']"
F,19,companionship-driven,[]
F,20,socially,[]
N,1,visionary,"['laputan', 'visionary', 'windy', 'airy', 'impractical']"
N,2,mystical,"['mysterious', 'mystical', 'mystic']"
N,3,intuitive,"['nonrational', 'visceral', 'intuitive']"
N,4,enthusiastic,['enthusiastic']
N,5,insightful,['insightful']
N,6,futuristic,"['futurist', 'futuristic']"
N,7,curious,"['curious', 'peculiar', 'queer', 'odd', 'funny']"
N,8,speculative,"['bad', 'risky', 'speculative', 'notional', 'high-risk']"
N,9,symbolic,"['symbolical', 'emblematical', 'emblematic', 'symbolic']"
N,10,pioneering,[]
N,11,visionary,"['laputan', 'visionary', 'windy', 'airy', 'impractical']"
N,12,mystical,"['mysterious', 'mystical', 'mystic']"
N,13,intuitive,"['nonrational', 'visceral', 'intuitive']"
N,14,enthusiastic,['enthusiastic']
N,15,insightful,['insightful']
N,16,futuristic,"['futurist', 'futuristic']"
N,17,curious,"['curious', 'peculiar', 'queer', 'odd', 'funny']"
N,18,speculative,"['bad', 'risky', 'speculative', 'notional', 'high-risk']"
N,19,symbolic,"['symbolical', 'emblematical', 'emblematic', 'symbolic']"
N,20,pioneering,[]
J,1,analytical,"['analytic', 'analytical']"
J,2,methodical,['methodical']
J,3,rigorous,"['tight', 'rigorous', 'stringent', 'strict']"
J,4,structured,"['structured', 'integrated']"
J,5,pragmatic,"['pragmatical', 'matter-of-fact', 'pragmatic']"
J,6,systematic,"['systematic', 'taxonomic', 'taxonomical']"
J,7,thoughtful,"['thoughtful', 'heedful', 'serious-minded']"
J,8,predictive,"['prognosticative', 'prognostic', 'predictive']"
J,9,clarity-driven,[]
J,10,closure-oriented,[]
J,11,analytical,"['analytic', 'analytical']"
J,12,methodical,['methodical']
J,13,rigorous,"['tight', 'rigorous', 'stringent', 'strict']"
J,14,structured,"['structured', 'integrated']"
J,15,pragmatic,"['pragmatical', 'matter-of-fact', 'pragmatic']"
J,16,systematic,"['systematic', 'taxonomic', 'taxonomical']"
J,17,thoughtful,"['thoughtful', 'heedful', 'serious-minded']"
J,18,predictive,"['prognosticative', 'prognostic', 'predictive']"
J,19,clarity-driven,[]
J,20,closure-oriented,[]
P,1,opportunistic,"['opportunistic', 'opportunist', 'timeserving']"
P,2,adaptable,['adaptable']
P,3,resourceful,['resourceful']
P,4,laid-back,"['laid-back', 'mellow']"
P,5,flexible-minded,[]
P,6,non-conformist,[]
P,7,open-minded,['open-minded']
P,8,innovative,"['forward-looking', 'advanced', 'innovative', 'modern']"
P,9,risk-taking,[]
