Label,Num,Adjectives,Synonyms
O-High,1,inquisitive,"['wondering', 'questioning', 'inquisitive', 'speculative']"
O-High,2,visionary,"['laputan', 'impractical', 'windy', 'visionary', 'airy']"
O-High,3,artistic,"['esthetic', 'artistic', 'aesthetic']"
O-High,4,enthusiastic,['enthusiastic']
O-High,5,intellectual,"['noetic', 'rational', 'intellectual', 'cerebral']"
O-High,6,adventurous,"['adventurous', 'adventuresome']"
O-High,7,creative,"['originative', 'creative']"
O-High,8,curatorial,['curatorial']
O-High,9,speculative,"['bad', 'high-risk', 'risky', 'notional', 'speculative']"
O-High,10,renaissance-minded,[]
O-Low,1,conventional,"['established', 'conventional']"
O-Low,2,conservative,"['button-down', 'conservative', 'cautious']"
O-Low,3,traditional,['traditional']
O-Low,4,staid,"['staid', 'sedate']"
O-Low,5,settled,"['settled', 'colonised', 'colonized']"
O-Low,6,pragmatic,"['pragmatic', 'matter-of-fact', 'pragmatical']"
O-Low,7,straight-laced,"['priggish', 'prudish', 'puritanical', 'prissy', 'prim']"
O-Low,8,orthodox,"['orthodox', 'eastern_orthodox', 'jewish-orthodox']"
O-Low,9,risk-averse,[]
O-Low,10,unadventurous,['unadventurous']
C-High,1,meticulous,"['meticulous', 'punctilious']"
C-High,2,diligent,"['persevering', 'diligent']"
C-High,3,methodical,['methodical']
C-High,4,disciplined,['disciplined']
C-High,5,resolute,"['resolute', 'unhesitating']"
C-High,6,proactive,['proactive']
C-High,7,tenacious,"['recollective', 'retentive', 'dogged', 'long', 'tenacious']"
C-High,8,thorough,"['thorough', 'thoroughgoing', 'exhaustive']"
C-High,9,pragmatic,"['pragmatic', 'matter-of-fact', 'pragmatical']"
C-High,10,unwavering,"['steady', 'steadfast', 'firm', 'unbendable', 'stiff']"
N-Low,1,phlegmatic,"['phlegmatical', 'phlegmatic']"
N-Low,2,composed,['composed']
N-Low,3,sanguine,"['rubicund', 'florid', 'ruddy', 'sanguine']"
N-Low,4,serene,"['calm', 'serene', 'tranquil', 'unagitated']"
N-Low,5,equanimous,"['poised', 'equanimous', 'collected', 'self-collected', 'self-contained']"
N-Low,6,unfazed,[]
N-Low,7,philosophical,"['philosophic', 'philosophical']"
N-Low,8,steadfast,"['steady', 'steadfast', 'firm', 'unbendable', 'stiff']"
N-Low,9,calmative,[]
N-Low,10,unruffled,"['placid', 'unperturbed', 'unflurried', 'unflustered', 'unruffled']"
E-High,1,exuberant,"['excessive', 'ebullient', 'extravagant', 'high-spirited', 'exuberant']"
E-High,2,vivacious,"['vivacious', 'vibrant']"
E-High,3,confident,"['convinced', 'positive', 'confident']"
E-High,4,energetic,"['energetic', 'industrious', 'up-and-coming', 'gumptious']"
E-High,5,charismatic,"['magnetic', 'charismatic']"
E-High,6,adventurous,"['adventurous', 'adventuresome']"
E-High,7,outgoing,"['outgoing', 'forthcoming', 'extroverted']"
E-High,8,spontaneous,"['spontaneous', 'ad-lib', 'self-generated', 'unwritten']"
E-High,9,dynamic,"['dynamic', 'dynamical', 'active']"
E-High,10,lively,"['lively', 'racy', 'alert', 'brisk']"
A-High,1,affable,"['cordial', 'amiable', 'genial', 'affable']"
A-High,2,compassionate,['compassionate']
A-High,3,empathetic,"['empathic', 'empathetic']"
A-High,4,gentle,"['soft', 'aristocratic', 'gentle']"
A-High,5,nurturing,[]
A-High,6,sympathetic,"['kindly', 'sympathetic', 'benevolent', 'charitable']"
A-High,7,tolerant,"['kind', 'broad', 'large-minded', 'tolerant']"
A-High,8,unassuming,"['retiring', 'unassuming']"
A-High,9,warm-hearted,[]
A-High,10,understanding,['understanding']
C-Low,1,spontaneous,"['spontaneous', 'ad-lib', 'self-generated', 'unwritten']"
C-Low,2,impetuous,"['madcap', 'tearaway', 'impetuous', 'impulsive', 'hotheaded']"
C-Low,3,distractible,[]
C-Low,4,emotionally,[]
C-Low,5,disorganized,"['disorganized', 'disorganised']"
C-Low,6,unpredictable,"['irregular', 'unpredictable']"
C-Low,7,impulsive,"['unprompted', 'driving', 'impulsive']"
C-Low,8,restless,"['ungratified', 'unsatisfied', 'restless']"
C-Low,9,haphazard,"['slapdash', 'hit-or-miss', 'slipshod', 'haphazard']"
C-Low,10,reckless,"['foolhardy', 'rash', 'reckless', 'heedless', 'heady']"
E-Low,1,introverted,"['introspective', 'self-examining', 'introverted']"
E-Low,2,reserved,['reserved']
E-Low,3,shy,"['unsure', 'diffident', 'shy', 'timid']"
E-Low,4,cautious,"['conservative', 'cautious']"
E-Low,5,reflective,"['meditative', 'brooding', 'musing', 'broody', 'contemplative']"
E-Low,6,private,"['private', 'individual', 'secret']"
E-Low,7,guarded,"['guarded', 'restrained']"
E-Low,8,unassuming,"['retiring', 'unassuming']"
E-Low,9,muted,"['subdued', 'dull', 'quiet', 'hushed', 'muted']"
E-Low,10,discerning,"['apprehensive', 'discerning', 'discreet']"
N-High,1,volatile,"['explosive', 'volatile', 'fickle']"
N-High,2,easily,[]
N-High,3,overwhelmed,[]
N-High,4,emotionally,[]
N-High,5,dysregulated,[]
N-High,6,sensitivity-prone,[]
N-High,7,maladaptive,['maladaptive']
N-High,8,introspectively,[]
N-High,9,emotionally,[]
N-High,10,catastrophically,[]
A-Low,1,confrontational,['confrontational']
A-Low,2,pugnacious,"['pugnacious', 'rough', 'hard-bitten', 'hard-boiled']"
A-Low,3,argumentative,['argumentative']
A-Low,4,perfidious,"['treacherous', 'punic', 'perfidious']"
A-Low,5,tenacious,"['recollective', 'retentive', 'dogged', 'long', 'tenacious']"
A-Low,6,disputatious,"['combative', 'disputative', 'contentious', 'litigious', 'disputatious']"
A-Low,7,intractable,['intractable']
A-Low,8,cynical,"['cynical', 'misanthropic', 'misanthropical']"
A-Low,9,aggressive,"['strong-growing', 'fast-growing', 'aggressive']"
A-Low,10,belligerent,"['militant', 'belligerent', 'war-ridden', 'aggressive']"
E-High-N-Low-A-High-C-Low-O-Low,1,vivacious,"['vivacious', 'vibrant']"
E-High-N-Low-A-High-C-Low-O-Low,2,warm-hearted,[]
E-High-N-Low-A-High-C-Low-O-Low,3,sociable,['sociable']
E-High-N-Low-A-High-C-Low-O-Low,4,bubbly,"['foaming', 'frothy', 'bubbling', 'bubbly', 'foamy']"
E-High-N-Low-A-High-C-Low-O-Low,5,assertive,"['self-assertive', 'assertive', 'self-asserting']"
E-High-N-Low-A-High-C-Low-O-Low,6,even-tempered,"['good-tempered', 'placid', 'equable', 'even-tempered']"
E-High-N-Low-A-High-C-Low-O-Low,7,cooperative,"['cooperative', 'conjunct', 'concerted', 'conjunctive']"
E-High-N-Low-A-High-C-Low-O-Low,8,traditional,['traditional']
E-High-N-Low-A-High-C-Low-O-Low,9,impulsive,"['unprompted', 'driving', 'impulsive']"
E-High-N-Low-A-High-C-Low-O-Low,10,effervescent,"['effervescent', 'sparkling', 'bubbling']"
E-High-N-High-A-High-C-Low-O-High,1,dramatic,"['dramatic', 'spectacular', 'striking']"
E-High-N-High-A-High-C-Low-O-High,2,impulsive,"['unprompted', 'driving', 'impulsive']"
E-High-N-High-A-High-C-Low-O-High,3,vivacious,"['vivacious', 'vibrant']"
E-High-N-High-A-High-C-Low-O-High,4,emotionally,[]
E-High-N-High-A-High-C-Low-O-High,5,charismatic,"['magnetic', 'charismatic']"
E-High-N-High-A-High-C-Low-O-High,6,adventurous,"['adventurous', 'adventuresome']"
E-High-N-High-A-High-C-Low-O-High,7,passionate,['passionate']
E-High-N-High-A-High-C-Low-O-High,8,rebellious,"['ill-affected', 'rebellious', 'disaffected', 'malcontent']"
E-High-N-High-A-High-C-Low-O-High,9,creative,"['originative', 'creative']"
E-High-N-High-A-High-C-Low-O-High,10,intense,"['vivid', 'intense', 'acute']"
E-Low-N-Low-A-Low-C-High-O-High,1,reserved,['reserved']
E-Low-N-Low-A-Low-C-High-O-High,2,disciplined,['disciplined']
E-Low-N-Low-A-Low-C-High-O-High,3,cerebral,"['intellectual', 'cerebral']"
E-Low-N-Low-A-Low-C-High-O-High,4,perceptive,['perceptive']
E-Low-N-Low-A-Low-C-High-O-High,5,pragmatic,"['pragmatic', 'matter-of-fact', 'pragmatical']"
E-Low-N-Low-A-Low-C-High-O-High,6,independent,"['sovereign', 'independent', 'autonomous', 'self-governing']"
E-Low-N-Low-A-Low-C-High-O-High,7,reflective,"['meditative', 'brooding', 'musing', 'broody', 'contemplative']"
E-Low-N-Low-A-Low-C-High-O-High,8,inquisitive,"['wondering', 'questioning', 'inquisitive', 'speculative']"
E-Low-N-Low-A-Low-C-High-O-High,9,methodical,['methodical']
E-Low-N-Low-A-Low-C-High-O-High,10,visionary,"['laputan', 'impractical', 'windy', 'visionary', 'airy']"
E-High-N-High-A-High-C-High-O-High,1,vibrant,"['vivacious', 'vibrant']"
E-High-N-High-A-High-C-High-O-High,2,dramatic,"['dramatic', 'spectacular', 'striking']"
E-High-N-High-A-High-C-High-O-High,3,compassionate,['compassionate']
E-High-N-High-A-High-C-High-O-High,4,driven,"['impelled', 'compulsive', 'goaded', 'driven']"
E-High-N-High-A-High-C-High-O-High,5,creative,"['originative', 'creative']"
E-High-N-High-A-High-C-High-O-High,6,charismatic,"['magnetic', 'charismatic']"
E-High-N-High-A-High-C-High-O-High,7,passionate,['passionate']
E-High-N-High-A-High-C-High-O-High,8,perceptive,['perceptive']
E-High-N-High-A-High-C-High-O-High,9,adventurous,"['adventurous', 'adventuresome']"
E-High-N-High-A-High-C-High-O-High,10,authentic,"['reliable', 'bona_fide', 'unquestionable', 'authentic']"
E-Low-N-Low-A-High-C-High-O-Low,1,reserved,['reserved']
E-Low-N-Low-A-High-C-High-O-Low,2,calm,"['calm', 'serene', 'tranquil', 'unagitated']"
E-Low-N-Low-A-High-C-High-O-Low,3,reliable,"['dependable', 'reliable', 'honest']"
E-Low-N-Low-A-High-C-High-O-Low,4,kind,"['kind', 'genial', 'tolerant']"
E-Low-N-Low-A-High-C-High-O-Low,5,traditional,['traditional']
E-Low-N-Low-A-High-C-High-O-Low,6,efficient,"['efficient', 'effective']"
