Label,Num,Adjectives
N-Low,1,composed
N-Low,2,steadfast
N-Low,3,even-tempered
N-Low,4,calm-centered
N-Low,5,resilient
N-Low,6,peaceful
N-Low,7,grounded
N-Low,8,calmly
N-Low,9,emotionally
N-Low,10,tranquil
O-Low,1,conservative
O-Low,2,traditional
O-Low,3,staid
O-Low,4,conservative-minded
O-Low,5,predictable
O-Low,6,familiar
O-Low,7,established
O-Low,8,set-in-their-ways
O-Low,9,traditionalist
O-Low,10,pragmatic
A-Low,1,ambitious
A-Low,2,cautious
A-Low,3,assertive
A-Low,4,intense
A-Low,5,analytical
A-Low,6,direct
A-Low,7,perceptive
A-Low,8,assertive
A-Low,9,polarizing
A-Low,10,unyielding
E-High,1,vibrant
E-High,2,charismatic
E-High,3,effervescent
E-High,4,outgoing
E-High,5,adventurous
E-High,6,confident
E-High,7,enthusiastic
E-High,8,lively
E-High,9,sociable
E-High,10,exuberant
O-High,1,visionary
O-High,2,inquisitive
O-High,3,creative
O-High,4,enthusiastic
O-High,5,introspective
O-High,6,adventurous
O-High,7,analytical
O-High,8,imaginative
O-High,9,philosophical
O-High,10,open-minded
N-High,1,vulnerable
N-High,2,emotionally
N-High,3,hyper-vigilant
N-High,4,intense
N-High,5,reactive
N-High,6,self-sabotaging
N-High,7,emotionally
N-High,8,crisis-prone
N-High,9,dysphoric
N-High,10,trauma-sensitive
A-High,1,empathetic
A-High,2,compassionate
A-High,3,affable
A-High,4,genial
A-High,5,benevolent
A-High,6,cordial
A-High,7,sensitive
A-High,8,caring
A-High,9,diplomatic
A-High,10,inclusive
E-Low,1,discreet
E-Low,2,reflective
E-Low,3,reserve
E-Low,4,cautious
E-Low,5,private
E-Low,6,introverted
E-Low,7,subdued
E-Low,8,thoughtful
E-Low,9,hesitant
E-Low,10,low-key
C-Low,1,distractible
C-Low,2,impetuous
C-Low,3,disorganized
C-Low,4,restless
C-Low,5,impulsive
C-Low,6,chaos-prone
C-Low,7,flighty
C-Low,8,spontaneous
C-Low,9,unstructured
C-Low,10,easily
C-High,1,meticulous
C-High,2,driven
