Label,Num,Adjectives,Synonyms
N-High,1,conceited,"['self-conceited', 'swollen', 'egotistical', 'egotistic', 'conceited']"
N-High,2,egotistical,"['narcissistic', 'egotistical', 'egotistic', 'conceited', 'self-loving']"
N-High,3,haughty,"['haughty', 'lordly', 'overbearing', 'imperious', 'disdainful']"
N-High,4,superior,"['superscript', 'superior']"
N-High,5,grandiose,"['highfaluting', 'grandiose', 'hifalutin', 'highfalutin']"
N-High,6,self-aggrandizing,"['self-aggrandising', 'self-aggrandizing', 'braggart', 'bragging', 'boastful']"
N-High,7,pompous,"['grandiloquent', 'overblown', 'pompous', 'pontifical', 'portentous']"
N-High,8,arrogant,"['arrogant', 'self-important', 'chesty']"
N-High,9,vainglorious,"['swelled', 'big', 'vainglorious']"
N-High,10,narcissistic,"['narcissistic', 'egotistical', 'egotistic', 'self-loving']"
M-High,1,machiavellian,['machiavellian']
M-High,2,ambitious,"['challenging', 'ambitious']"
M-High,3,cunning,"['cunning', 'cute', 'crafty', 'dodgy']"
M-High,4,scheming,"['scheming', 'calculative', 'shrewd', 'conniving', 'calculating']"
M-High,5,exploitative,"['exploitive', 'exploitatory', 'exploitative']"
M-High,6,manipulative,['manipulative']
M-High,7,pragmatic,"['pragmatical', 'pragmatic', 'matter-of-fact']"
M-High,8,calculated,"['deliberate', 'measured', 'calculated']"
M-High,9,deceptive,"['misleading', 'shoddy', 'deceptive', 'delusory']"
M-High,10,merciless,"['unmerciful', 'merciless']"
P-Low,1,compassionate,['compassionate']
P-Low,2,reflective,"['musing', 'contemplative', 'meditative', 'broody', 'brooding']"
P-Low,3,solicitous,['solicitous']
P-Low,4,thoughtful,"['serious-minded', 'thoughtful', 'heedful']"
P-Low,5,considerate,['considerate']
P-Low,6,nurturing,[]
P-Low,7,prudent,['prudent']
P-Low,8,caring,['caring']
P-Low,9,guarded,"['restrained', 'guarded']"
P-Low,10,altruistic,"['altruistic', 'selfless']"
M-Low,1,unwavering,"['steadfast', 'unbendable', 'firm', 'stiff', 'steady']"
M-Low,2,authentic,"['unquestionable', 'bona_fide', 'authentic', 'reliable']"
M-Low,3,principled,['principled']
M-Low,4,straightforward,"['straightforward', 'aboveboard', 'square', 'straight']"
M-Low,5,reliable,"['reliable', 'dependable', 'honest']"
M-Low,6,uncompromising,"['inflexible', 'uncompromising', 'sturdy']"
M-Low,7,transparent,"['crystal_clear', 'crystalline', 'pellucid', 'limpid', 'lucid']"
M-Low,8,sincere,"['solemn', 'earnest', 'sincere']"
M-Low,9,decorum,[]
M-Low,10,upright,"['unsloped', 'just', 'upright', 'good']"
P-High,1,reckless,"['reckless', 'foolhardy', 'rash', 'heady', 'heedless']"
P-High,2,daring,"['audacious', 'avant-garde', 'daring', 'venturous', 'venturesome']"
P-High,3,unpredictable,"['irregular', 'unpredictable']"
P-High,4,apathetic,"['apathetic', 'indifferent']"
P-High,5,thrill-hungry,[]
P-High,6,unconventional,"['unconventional', 'improper', 'unlawful']"
P-High,7,maverick,"['irregular', 'unorthodox', 'maverick']"
P-High,8,rash,"['rash', 'heady', 'reckless', 'foolhardy']"
P-High,9,detached,"['detached', 'isolated', 'uninvolved', 'degage']"
P-High,10,unbridled,"['ungoverned', 'unbridled', 'uncurbed', 'unchecked']"
N-Low,1,unassuming,"['retiring', 'unassuming']"
N-Low,2,self-effacing,"['self-effacing', 'reticent', 'retiring']"
N-Low,3,modest,"['modest', 'small']"
N-Low,4,unpretentious,"['unpretending', 'unpretentious', 'understated', 'unostentatious']"
N-Low,5,low-key,"['low-key', 'low-keyed', 'subdued']"
N-Low,6,demure,"['coy', 'demure', 'overmodest']"
N-Low,7,unobtrusive,"['unnoticeable', 'unobtrusive']"
N-Low,8,unassuming,"['retiring', 'unassuming']"
N-Low,9,reserved,['reserved']
N-Low,10,unostentatious,"['unpretending', 'unpretentious', 'understated', 'unostentatious']"
M-Low-N-High-P-High,1,confidently,[]
M-Low-N-High-P-High,2,bluntly,[]
M-Low-N-High-P-High,3,morally,[]
M-Low-N-High-P-High,4,emotionally,[]
M-Low-N-High-P-High,5,impulsively,[]
M-Low-N-High-P-High,6,superior,"['superscript', 'superior']"
M-Low-N-High-P-High,7,direct,"['lineal', 'direct', 'unmediated']"
M-Low-N-High-P-High,8,thrill-seeking,[]
M-Low-N-High-P-High,9,lacking,"['wanting', 'deficient', 'absent', 'lacking']"
M-Low-N-High-P-High,10,unapologetically,[]
M-High-N-High-P-Low,1,strategic,"['strategical', 'strategic']"
M-High-N-High-P-Low,2,pragmatic,"['pragmatical', 'pragmatic', 'matter-of-fact']"
M-High-N-High-P-Low,3,cunning,"['cunning', 'cute', 'crafty', 'dodgy']"
M-High-N-High-P-Low,4,ambitious,"['challenging', 'ambitious']"
M-High-N-High-P-Low,5,calculating,"['scheming', 'calculative', 'shrewd', 'conniving', 'calculating']"
M-High-N-High-P-Low,6,confident,"['positive', 'convinced', 'confident']"
M-High-N-High-P-Low,7,perceptive,['perceptive']
M-High-N-High-P-Low,8,adaptable,['adaptable']
M-High-N-High-P-Low,9,responsible,"['creditworthy', 'responsible', 'responsible_for']"
M-High-N-High-P-Low,10,astute,"['astute', 'sharp', 'shrewd']"
M-Low-N-High-P-Low,1,authentic,"['unquestionable', 'bona_fide', 'authentic', 'reliable']"
M-Low-N-High-P-Low,2,empathetic,"['empathic', 'empathetic']"
M-Low-N-High-P-Low,3,confident,"['positive', 'convinced', 'confident']"
M-Low-N-High-P-Low,4,transparent,"['crystal_clear', 'crystalline', 'pellucid', 'limpid', 'lucid']"
M-Low-N-High-P-Low,5,idealistic,"['ideal', 'idealistic', 'elevated', 'sublime', 'exalted']"
M-Low-N-High-P-Low,6,self-assured,"['self-confident', 'self-assured']"
M-Low-N-High-P-Low,7,compassionate,['compassionate']
M-Low-N-High-P-Low,8,reflective,"['musing', 'contemplative', 'meditative', 'broody', 'brooding']"
M-Low-N-High-P-Low,9,sincere,"['solemn', 'earnest', 'sincere']"
M-Low-N-High-P-Low,10,altruistic,"['altruistic', 'selfless']"
M-High-N-High-P-High,1,cunning,"['cunning', 'cute', 'crafty', 'dodgy']"
M-High-N-High-P-High,2,ambitious,"['challenging', 'ambitious']"
M-High-N-High-P-High,3,calculating,"['scheming', 'calculative', 'shrewd', 'conniving', 'calculating']"
M-High-N-High-P-High,4,arrogant,"['arrogant', 'self-important', 'chesty']"
M-High-N-High-P-High,5,manipulative,['manipulative']
M-High-N-High-P-High,6,impulsive,"['driving', 'impulsive', 'unprompted']"
M-High-N-High-P-High,7,deceptive,"['misleading', 'shoddy', 'deceptive', 'delusory']"
M-High-N-High-P-High,8,dominating,"['commanding', 'dominating', 'ascendent', 'ascendant']"
M-High-N-High-P-High,9,callous,"['calloused', 'indurate', 'pachydermatous', 'callous']"
M-High-N-High-P-High,10,ruthless,"['unpitying', 'pitiless', 'remorseless', 'ruthless']"
M-High-N-Low-P-Low,1,cautious,"['conservative', 'cautious']"
M-High-N-Low-P-Low,2,strategic,"['strategical', 'strategic']"
M-High-N-Low-P-Low,3,pragmatic,"['pragmatical', 'pragmatic', 'matter-of-fact']"
M-High-N-Low-P-Low,4,empathetic,"['empathic', 'empathetic']"
M-High-N-Low-P-Low,5,low-key,"['low-key', 'low-keyed', 'subdued']"
M-High-N-Low-P-Low,6,unassuming,"['retiring', 'unassuming']"
M-High-N-Low-P-Low,7,mindful,"['aware', 'mindful']"
M-High-N-Low-P-Low,8,responsible,"['creditworthy', 'responsible', 'responsible_for']"
M-High-N-Low-P-Low,9,calculating,"['scheming', 'calculative', 'shrewd', 'conniving', 'calculating']"
M-High-N-Low-P-Low,10,discreet,"['circumspect', 'discreet', 'discerning']"
M-Low-N-Low-P-High,1,uncompromising,"['inflexible', 'uncompromising', 'sturdy']"
M-Low-N-Low-P-High,2,direct,"['lineal', 'direct', 'unmediated']"
M-Low-N-Low-P-High,3,authentic,"['unquestionable', 'bona_fide', 'authentic', 'reliable']"
M-Low-N-Low-P-High,4,impulsive,"['driving', 'impulsive', 'unprompted']"
M-Low-N-Low-P-High,5,fearless,"['fearless', 'audacious', 'brave', 'unafraid', 'dauntless']"
M-Low-N-Low-P-High,6,unapologetic,['unapologetic']
M-Low-N-Low-P-High,7,emotionally,[]
M-Low-N-Low-P-High,8,unconventional,"['unconventional', 'improper', 'unlawful']"
M-Low-N-Low-P-High,9,reckless,"['reckless', 'foolhardy', 'rash', 'heady', 'heedless']"
M-Low-N-Low-P-High,10,unpredictable,"['irregular', 'unpredictable']"
M-Low-N-Low-P-Low,1,authentic,"['unquestionable', 'bona_fide', 'authentic', 'reliable']"
M-Low-N-Low-P-Low,2,compassionate,['compassionate']
M-Low-N-Low-P-Low,3,humble,"['small', 'humble', 'modest', 'low', 'lowly']"
M-Low-N-Low-P-Low,4,introspective,"['introverted', 'introspective', 'self-examining']"
M-Low-N-Low-P-Low,5,loyal,"['patriotic', 'loyal', 'firm']"
M-Low-N-Low-P-Low,6,mindful,"['aware', 'mindful']"
M-Low-N-Low-P-Low,7,nurturing,[]
