Label,Num,Adjectives
T,1,analytical
T,2,pragmatic
T,3,logical
T,4,detached
T,5,methodical
T,6,rational
T,7,objective
T,8,calculating
T,9,austere
T,10,impassive
J,1,methodical
J,2,perfectionistic
J,3,analytical
J,4,disciplined
J,5,systematic
J,6,pragmatic
J,7,detail-oriented
J,8,systematized
J,9,precise
J,10,ordered
S,1,perceptive
S,2,discerning
S,3,pragmatic
S,4,methodical
S,5,grounded
S,6,analytical
S,7,practical-minded
S,8,observant
S,9,realistic
S,10,detail-oriented
E,1,vivacious
E,2,outgoing
E,3,exuberant
E,4,charismatic
E,5,energetic
E,6,sociable
E,7,vibrant
E,8,enthusiastic
E,9,affable
E,10,dramatic
F,1,empathetic
F,2,compassionate
F,3,soothing
F,4,nurturing
F,5,introspective
F,6,collaborative
F,7,emotionally
F,8,harmonious
F,9,sentimental
F,10,altruistic
N,1,visionary
N,2,innovative
N,3,enigmatic
N,4,dreamy
N,5,astute
N,6,speculative
N,7,ethereal
N,8,prophetic
N,9,whimsical
N,10,oracular
P,1,adaptable
P,2,spontaneous
P,3,agile
P,4,resourceful
P,5,visionary
P,6,eccentric
P,7,intuitive
P,8,free-spirited
P,9,innovative
P,10,lateral
I,1,reserved
I,2,sensory-sensitive
I,3,introverted
I,4,solitary
I,5,perceptive
I,6,reflective
I,7,guarded
I,8,muted
I,9,delicate
I,10,enigmatic
INFP,1,enigmatic
INFP,2,visionary
INFP,3,emotionally
INFP,4,dreamy
INFP,5,free-spirited
INFP,6,empathetic
INFP,7,creative
INFP,8,introspective
INFP,9,adaptable
INFP,10,poetic
ISFJ,1,reserved
ISFJ,2,perceptive
ISFJ,3,emotional
ISFJ,4,practical
ISFJ,5,methodical
ISFJ,6,sensible
ISFJ,7,deliberate
ISFJ,8,compassionate
ISFJ,9,conservative
ISFJ,10,reliable
INTJ,1,enigmatic
INTJ,2,visionary
INTJ,3,discerning
INTJ,4,perceptive
INTJ,5,independent
INTJ,6,analytical
INTJ,7,savvy
INTJ,8,reserved
INTJ,9,methodical
INTJ,10,innovative
INFJ,1,enigmatic
INFJ,2,ethereal
INFJ,3,discerning
INFJ,4,sentimental
INFJ,5,perceptive
INFJ,6,philosophical
INFJ,7,sincere
INFJ,8,reflective
INFJ,9,visionary
INFJ,10,resilient
ESTP,1,adventurous
ESTP,2,resourceful
ESTP,3,spontaneous
ESTP,4,pragmatic
ESTP,5,charismatic
ESTP,6,action-oriented
ESTP,7,flexible
ESTP,8,confident
ESTP,9,direct
ESTP,10,fearless
INTP,1,enigmatic
INTP,2,visionary
INTP,3,independent
INTP,4,analytical
INTP,5,imaginative
INTP,6,rebellious
INTP,7,adaptable
INTP,8,introverted
INTP,9,abstract
INTP,10,unconventional
ISTP,1,perceptive
ISTP,2,pragmatic
ISTP,3,independent
ISTP,4,analytical
ISTP,5,resourceful
ISTP,6,skeptical
ISTP,7,low-key
ISTP,8,adaptable
ISTP,9,observant
ISTP,10,unconventional
ENTP,1,eccentric
ENTP,2,vivacious
ENTP,3,innovative
ENTP,4,adventurous
ENTP,5,analytical
ENTP,6,quick-witted
ENTP,7,unconventional
ENTP,8,enthusiastic
ENTP,9,resourceful
ENTP,10,intellectual
ESFJ,1,social
ESFJ,2,enthusiastic
ESFJ,3,pragmatic
ESFJ,4,decisive
ESFJ,5,organized
ESFJ,6,empathetic
ESFJ,7,expressive
ESFJ,8,structured
ESFJ,9,cooperative
ESFJ,10,compassionate
ESFP,1,vibrant
ESFP,2,adaptable
ESFP,3,expressive
ESFP,4,spontaneous
ESFP,5,charismatic
ESFP,6,pragmatic
ESFP,7,enthusiastic
ESFP,8,empathetic
ESFP,9,lighthearted
ESFP,10,opportunistic
ESTJ,1,direct
ESTJ,2,results-driven
ESTJ,3,pragmatic
ESTJ,4,decisive
ESTJ,5,methodical
ESTJ,6,objective
ESTJ,7,assertive
ESTJ,8,structured
ESTJ,9,results-oriented
ESTJ,10,action-oriented
ENFJ,1,charismatic
ENFJ,2,visionary
ENFJ,3,empathetic
ENFJ,4,dynamic
ENFJ,5,strategic
ENFJ,6,passionate
ENFJ,7,imaginative
ENFJ,8,adaptable
ENFJ,9,authentic
ENFJ,10,inspiring
ENTJ,1,visionary
ENTJ,2,confident
ENTJ,3,strategic
ENTJ,4,innovative
ENTJ,5,results-driven
ENTJ,6,charismatic
ENTJ,7,decisive
ENTJ,8,analytical
ENTJ,9,ambitious
ENTJ,10,authoritative
ISTJ,1,disciplined
ISTJ,2,pragmatic
ISTJ,3,analytical
ISTJ,4,reserved
ISTJ,5,methodical
ISTJ,6,no-nonsense
ISTJ,7,perceptive
ISTJ,8,practical-minded
ISTJ,9,straightforward
ISTJ,10,rigorous
ENFP,1,vibrant
ENFP,2,imaginative
ENFP,3,enthusiastic
ENFP,4,spontaneous
ENFP,5,sociable
ENFP,6,empathetic
ENFP,7,innovative
ENFP,8,expressive
ENFP,9,adventurous
ENFP,10,inspiring
ISFP,1,sentimental
ISFP,2,pragmatic
ISFP,3,empathetic
ISFP,4,creative
ISFP,5,sincere
ISFP,6,flexible
ISFP,7,perceptive
ISFP,8,introspective
ISFP,9,compassionate
ISFP,10,spontaneous
