Label,Num,Adjectives
T,1,analytical
T,2,objective
T,3,rational
T,4,efficient
T,5,pragmatic
T,6,logical
T,7,distant
T,8,independent
T,9,analytical-thinking
T,10,problem-solving
T,11,analytical
T,12,objective
T,13,rational
T,14,efficient
T,15,pragmatic
T,16,logical
T,17,distant
T,18,independent
T,19,analytical-thinking
T,20,problem-solving
F,1,sympathetic
F,2,compassionate
F,3,sensitive
F,4,emotionally
F,5,sympathetic
F,6,diplomatic
F,7,harmonious
F,8,cooperative
F,9,sympathetic
F,10,considerate
F,11,sympathetic
F,12,compassionate
F,13,sensitive
F,14,emotionally
F,15,sympathetic
F,16,diplomatic
F,17,harmonious
F,18,cooperative
F,19,sympathetic
F,20,considerate
N,1,visionary
N,2,mystic
N,3,enigmatic
N,4,insightful
N,5,speculative
N,6,futuristic
N,7,philosophical
N,8,introspective
N,9,symbolic
N,10,mystical
N,11,visionary
N,12,mystic
N,13,enigmatic
N,14,insightful
N,15,speculative
N,16,futuristic
N,17,philosophical
N,18,introspective
N,19,symbolic
N,20,mystical
J,1,methodical
J,2,systematic
J,3,disciplined
J,4,predictive
J,5,structured
J,6,analytical
J,7,prepared
J,8,consistent
J,9,methodistic
J,10,punctual
J,11,methodical
J,12,systematic
J,13,disciplined
J,14,predictive
J,15,structured
J,16,analytical
J,17,prepared
J,18,consistent
J,19,methodistic
J,20,punctual
P,1,opportunistic
P,2,nimble
P,3,adaptable
P,4,flexible
P,5,open-minded
P,6,resourceful
P,7,laid-back
P,8,curious
P,9,innovative
P,10,risk-taking
P,11,opportunistic
P,12,nimble
P,13,adaptable
P,14,flexible
P,15,open-minded
P,16,resourceful
P,17,laid-back
P,18,curious
P,19,innovative
P,20,risk-taking
E,1,energetic
E,2,vibrant
E,3,social
E,4,enthusiastic
E,5,excitable
E,6,talkative
E,7,outgoing
E,8,lively
E,9,charismatic
E,10,radiant
E,11,energetic
E,12,vibrant
E,13,social
E,14,enthusiastic
E,15,excitable
E,16,talkative
E,17,outgoing
E,18,lively
E,19,charismatic
E,20,radiant
I,1,reserved
I,2,reflective
I,3,meditative
I,4,sensory-sensitive
I,5,solitary
I,6,calm
I,7,nurturing
I,8,sensory-shy
