Label,Num,Adjectives
N-Low,1,composed
N-Low,2,even-tempered
N-Low,3,resilient
N-Low,4,calm
N-Low,5,stable
N-Low,6,emotionally
N-Low,7,peaceful
N-Low,8,adaptable
N-Low,9,optimistic
N-Low,10,grounded
O-Low,1,conservative
O-Low,2,traditional
O-Low,3,staid
O-Low,4,conventional
O-Low,5,established
O-Low,6,predictable
O-Low,7,stoic
O-Low,8,respectable
O-Low,9,unadventurous
O-Low,10,loyal
A-Low,1,confrontational
A-Low,2,cautious
A-Low,3,intense
A-Low,4,assertive
A-Low,5,analytical
A-Low,6,discerning
A-Low,7,assertive
A-Low,8,resolute
A-Low,9,cerebral
A-Low,10,unyielding
E-High,1,charismatic
E-High,2,vibrant
E-High,3,outgoing
E-High,4,confident
E-High,5,adventurous
E-High,6,energetic
E-High,7,chatty
E-High,8,extroverted
E-High,9,spontaneous
E-High,10,lively
O-High,1,visionary
O-High,2,inquisitive
O-High,3,artistic
O-High,4,introspective
O-High,5,free-spirited
O-High,6,analytical
O-High,7,enthusiastic
O-High,8,open-minded
O-High,9,creative
O-High,10,philosophical
N-High,1,vulnerable
N-High,2,sensitive
N-High,3,emotionally
N-High,4,resilience-challenged
N-High,5,defensive
N-High,6,impulsive
N-High,7,hypervigilant
N-High,8,self-destructive
N-High,9,mood-prone
N-High,10,trauma-sensitive
A-High,1,empathetic
A-High,2,affable
A-High,3,compassionate
A-High,4,cooperative
A-High,5,sympathetic
A-High,6,gentle
A-High,7,conscientious
A-High,8,warm-hearted
A-High,9,collaborative
A-High,10,sincere
E-Low,1,reflective
E-Low,2,reserved
E-Low,3,introverted
E-Low,4,cautious
E-Low,5,analytical
E-Low,6,introvertedly
E-Low,7,hesitant
E-Low,8,thoughtful
E-Low,9,observant
E-Low,10,sensible
C-Low,1,frantic
C-Low,2,impulsive
C-Low,3,disheveled
C-Low,4,distractible
C-Low,5,restless
C-Low,6,emotionally
C-Low,7,chaotic
C-Low,8,spontaneous
C-Low,9,fragile
C-Low,10,unpredictable
C-High,1,pragmatic
C-High,2,diligent
C-High,3,disciplined
C-High,4,organized
C-High,5,efficient
C-High,6,responsible
C-High,7,motivated
C-High,8,self-reliant
C-High,9,goal-oriented
C-High,10,persevering
E-Low-N-Low-A-Low-C-High-O-Low,1,reserved
E-Low-N-Low-A-Low-C-High-O-Low,2,cautious
E-Low-N-Low-A-Low-C-High-O-Low,3,analytical
E-Low-N-Low-A-Low-C-High-O-Low,4,disciplined
E-Low-N-Low-A-Low-C-High-O-Low,5,practical
E-Low-N-Low-A-Low-C-High-O-Low,6,traditional
E-Low-N-Low-A-Low-C-High-O-Low,7,efficient
E-Low-N-Low-A-Low-C-High-O-Low,8,competent
E-Low-N-Low-A-Low-C-High-O-Low,9,independent
E-Low-N-Low-A-Low-C-High-O-Low,10,resilient
E-Low-N-High-A-High-C-Low-O-High,1,introverted
E-Low-N-High-A-High-C-Low-O-High,2,reserved
