Label,Num,Adjectives,Synonyms
M-High,1,adaptable,['adaptable']
M-High,2,aggressive,"['aggressive', 'fast-growing', 'strong-growing']"
M-High,3,ambitious,"['ambitious', 'challenging']"
M-High,4,cunning,"['crafty', 'dodgy', 'cute', 'cunning']"
M-High,5,dishonest,"['dishonorable', 'corruptible', 'bribable', 'dishonest']"
M-High,6,manipulative,['manipulative']
M-High,7,power-hungry,[]
M-High,8,ruthless,"['remorseless', 'pitiless', 'unpitying', 'ruthless']"
M-High,9,scheming,"['calculative', 'scheming', 'shrewd', 'conniving', 'calculating']"
M-High,10,tactical,['tactical']
M-High,11,adaptable,['adaptable']
M-High,12,aggressive,"['aggressive', 'fast-growing', 'strong-growing']"
M-High,13,ambitious,"['ambitious', 'challenging']"
M-High,14,cunning,"['crafty', 'dodgy', 'cute', 'cunning']"
M-High,15,dishonest,"['dishonorable', 'corruptible', 'bribable', 'dishonest']"
M-High,16,manipulative,['manipulative']
M-High,17,power-hungry,[]
M-High,18,ruthless,"['remorseless', 'pitiless', 'unpitying', 'ruthless']"
M-High,19,scheming,"['calculative', 'scheming', 'shrewd', 'conniving', 'calculating']"
M-High,20,tactical,['tactical']
P-High,1,adventurous,"['adventuresome', 'adventurous']"
P-High,2,risk-taker,[]
P-High,3,bold,"['bluff', 'sheer', 'bold']"
P-High,4,impetuous,"['hotheaded', 'impetuous', 'tearaway', 'madcap', 'impulsive']"
P-High,5,sensationalist,[]
P-High,6,selfish,['selfish']
P-High,7,indifferent,"['apathetic', 'deaf', 'indifferent']"
P-High,8,unpredictable,"['irregular', 'unpredictable']"
P-High,9,freewheeling,"['happy-go-lucky', 'freewheeling', 'carefree', 'devil-may-care']"
P-High,10,aggressive,"['aggressive', 'fast-growing', 'strong-growing']"
P-High,11,adventurous,"['adventuresome', 'adventurous']"
P-High,12,risk-taker,[]
P-High,13,bold,"['bluff', 'sheer', 'bold']"
P-High,14,impetuous,"['hotheaded', 'impetuous', 'tearaway', 'madcap', 'impulsive']"
P-High,15,sensationalist,[]
P-High,16,selfish,['selfish']
P-High,17,indifferent,"['apathetic', 'deaf', 'indifferent']"
P-High,18,unpredictable,"['irregular', 'unpredictable']"
P-High,19,freewheeling,"['happy-go-lucky', 'freewheeling', 'carefree', 'devil-may-care']"
P-High,20,aggressive,"['aggressive', 'fast-growing', 'strong-growing']"
N-Low,1,unassuming,"['unassuming', 'retiring']"
N-Low,2,down-to-earth,"['down-to-earth', 'earthy']"
N-Low,3,discreet,"['discreet', 'discerning', 'circumspect']"
N-Low,4,reserved,['reserved']
N-Low,5,self-effacing,"['self-effacing', 'retiring', 'reticent']"
N-Low,6,generous,['generous']
N-Low,7,dismissive,['dismissive']
N-Low,8,self-sacrificing,"['self-denying', 'self-giving', 'self-sacrificing']"
N-Low,9,unobtrusive,"['unnoticeable', 'unobtrusive']"
N-Low,10,subtle,"['insidious', 'elusive', 'pernicious', 'subtle']"
N-Low,11,unassuming,"['unassuming', 'retiring']"
N-Low,12,down-to-earth,"['down-to-earth', 'earthy']"
N-Low,13,discreet,"['discreet', 'discerning', 'circumspect']"
N-Low,14,reserved,['reserved']
N-Low,15,self-effacing,"['self-effacing', 'retiring', 'reticent']"
N-Low,16,generous,['generous']
N-Low,17,dismissive,['dismissive']
N-Low,18,self-sacrificing,"['self-denying', 'self-giving', 'self-sacrificing']"
N-Low,19,unobtrusive,"['unnoticeable', 'unobtrusive']"
N-Low,20,subtle,"['insidious', 'elusive', 'pernicious', 'subtle']"
M-Low,1,integrity-driven,[]
M-Low,2,honesty-honored,[]
M-Low,3,sincerity-seekers,[]
M-Low,4,trustworthy-trustors,[]
M-Low,5,ethical-ethicists,[]
M-Low,6,transparency-translators,[]
M-Low,7,respectful-respectors,[]
M-Low,8,autonomy-admirers,[]
M-Low,9,straightforward-straighteners,[]
M-Low,10,credible-creditors,[]
M-Low,11,integrity-driven,[]
M-Low,12,honesty-honored,[]
M-Low,13,sincerity-seekers,[]
M-Low,14,trustworthy-trustors,[]
M-Low,15,ethical-ethicists,[]
M-Low,16,transparency-translators,[]
M-Low,17,respectful-respectors,[]
M-Low,18,autonomy-admirers,[]
M-Low,19,straightforward-straighteners,[]
M-Low,20,credible-creditors,[]
N-High,1,arrogant,"['self-important', 'arrogant', 'chesty']"
N-High,2,pompous,"['overblown', 'grandiloquent', 'pompous', 'pontifical', 'portentous']"
N-High,3,hubristic,[]
